Noworodki pozostawione w szpitalu nie ze względów zdrowotnych w latach 2007-2023,,,,,,,,,,,,,,,,,
Dane na podstawie rocznego sprawozdania statystycznego MZ-29 o działalności szpitala ogólnego,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Województwa,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2007,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2008,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2009,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2010,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2011,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2012,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2013,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2014,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych stan na 31.12.2015,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2016,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2017,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2018,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2019,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2020,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2021,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2022,Noworodki pozostawione w szpitalu nie ze względów zdrowotnych 2023
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dolnośląskie,81,88,86,93,84,164,103,79,102,112,89,80,85,100,89,95,118
kujawsko-pomorskie,48,52,40,58,37,51,41,58,36,28,29,43,47,44,46,43,33
lubelskie,30,28,27,24,22,46,46,26,27,16,14,13,7,19,11,11,19
lubuskie,34,50,34,39,35,31,33,38,45,25,15,19,42,24,20,38,43
łódzkie,64,69,62,61,68,79,52,51,57,78,75,31,29,25,36,21,32
małopolskie,70,58,53,72,42,52,49,57,69,49,38,31,34,31,38,35,41
mazowieckie,110,91,93,90,125,122,151,98,89,56,79,45,88,55,130,15,13
opolskie,17,12,22,26,18,28,20,23,24,12,18,23,13,10,13,17,9
podkarpackie,8,5,3,5,13,7,17,8,9,4,5,7,1,3,6,1,3
podlaskie,13,17,20,9,8,17,9,24,5,12,4,6,0,3,15,16,21
pomorskie,45,49,54,61,54,65,51,50,40,34,43,31,23,33,34,39,30
śląskie,75,108,90,88,87,72,90,100,102,74,48,56,50,80,65,75,76
świętokrzyskie,16,18,10,16,18,15,20,20,6,8,10,6,9,10,8,7,8
warmińsko-mazurskie,20,28,30,31,31,31,43,38,34,19,19,15,16,6,9,28,25
wielkopolskie,49,55,52,49,53,48,65,40,47,40,35,21,36,44,41,69,76
zachodniopomorskie,40,47,50,76,70,90,59,62,70,142,30,45,47,19,82,61,80
Polska,720,775,726,798,765,918,849,772,762,709,551,472,527,506,643,571,627
,,,,,,,,,,500+ weszło od 1 kwietnia 2016,,,,,,,
