"State","Intent","Deaths","Population","Combined Costs Total","Combined Costs Per Capita"
"Alabama","Unintentional","1,411","5.07 M","$16.06 B","$3,165"
"Alaska","Unintentional","233","733,583","$2.65 B","$3,613"
"Arizona","Unintentional","2,414","7.36 M","$27.54 B","$3,742"
"Arkansas","Unintentional","557","3.05 M","$6.35 B","$2,084"
"California","Unintentional","10,348","39.03 M","$116.29 B","$2,979"
"Colorado","Unintentional","1,604","5.84 M","$18.18 B","$3,114"
"Connecticut","Unintentional","1,411","3.63 M","$15.84 B","$4,368"
"Delaware","Unintentional","514","1.02 M","$5.83 B","$5,725"
"District of Columbia","Unintentional","432","671,803","$4.68 B","$6,969"
"Florida","Unintentional","7,096","22.24 M","$80.58 B","$3,622"
"Georgia","Unintentional","2,519","10.91 M","$28.78 B","$2,637"
"Hawaii","Unintentional","248","1.44 M","$2.76 B","$1,916"
"Idaho","Unintentional","325","1.94 M","$3.69 B","$1,905"
"Illinois","Unintentional","3,639","12.58 M","$41.07 B","$3,264"
"Indiana","Unintentional","2,442","6.83 M","$27.92 B","$4,086"
"Iowa","Unintentional","378","3.20 M","$4.28 B","$1,336"
"Kansas","Unintentional","674","2.94 M","$7.72 B","$2,627"
"Kentucky","Unintentional","2,181","4.51 M","$24.93 B","$5,526"
"Louisiana","Unintentional","2,207","4.59 M","$25.22 B","$5,495"
"Maine","Unintentional","673","1.39 M","$7.71 B","$5,566"
"Maryland","Unintentional","1,329","6.16 M","$14.85 B","$2,409"
"Massachusetts","Unintentional","2,484","6.98 M","$28.15 B","$4,032"
"Michigan","Unintentional","2,510","10.03 M","$28.17 B","$2,807"
"Minnesota","Unintentional","1,271","5.72 M","$14.58 B","$2,551"
"Mississippi","Unintentional","703","2.94 M","$8.00 B","$2,721"
"Missouri","Unintentional","2,015","6.18 M","$23.04 B","$3,729"
"Montana","Unintentional","192","1.12 M","$2.15 B","$1,911"
"Nebraska","Unintentional","197","1.97 M","$2.25 B","$1,145"
"Nevada","Unintentional","910","3.18 M","$10.11 B","$3,182"
"New Hampshire","Unintentional","459","1.40 M","$5.26 B","$3,767"
"New Jersey","Unintentional","2,853","9.26 M","$32.25 B","$3,482"
"New Mexico","Unintentional","960","2.11 M","$10.90 B","$5,158"
"New York","Unintentional","5,890","19.68 M","$66.23 B","$3,366"
"North Carolina","Unintentional","4,106","10.70 M","$47.23 B","$4,415"
"North Dakota","Unintentional","127","779,261","$1.45 B","$1,866"
"Ohio","Unintentional","4,928","11.76 M","$56.04 B","$4,767"
"Oklahoma","Unintentional","1,138","4.02 M","$12.95 B","$3,220"
"Oregon","Unintentional","1,224","4.24 M","$13.82 B","$3,259"
"Pennsylvania","Unintentional","4,853","12.97 M","$55.03 B","$4,242"
"Rhode Island","Unintentional","397","1.09 M","$4.48 B","$4,099"
"South Carolina","Unintentional","2,183","5.28 M","$24.78 B","$4,691"
"South Dakota","Unintentional","83","909,824","$959.77 M","$1,055"
"Tennessee","Unintentional","3,683","7.05 M","$42.11 B","$5,972"
"Texas","Unintentional","5,093","30.03 M","$57.94 B","$1,929"
"Utah","Unintentional","498","3.38 M","$5.71 B","$1,689"
"Vermont","Unintentional","245","647,064","$2.82 B","$4,361"
"Virginia","Unintentional","2,364","8.68 M","$27.08 B","$3,119"
"Washington","Unintentional","2,546","7.79 M","$28.94 B","$3,717"
"West Virginia","Unintentional","1,288","1.78 M","$14.69 B","$8,275"
"Wisconsin","Unintentional","1,648","5.89 M","$18.66 B","$3,167"
"Wyoming","Unintentional","109","581,381","$1.24 B","$2,138"
"","","","","",""
"","","","","",""
"Data Year: 2022","","","","",""
"Currency Year:2020 USD","","","","",""
"Injury Outcome: Fatal","","","","",""
"Intent: Unintentional","","","","",""
"Mechanism: Drug Poisoning","","","","",""
"Geography: United States","","","","",""
"Sex: All Sexes","","","","",""
"Age: All Ages","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
