"State","Intent","Deaths","Population","Combined Costs Total","Combined Costs Per Capita"
"Alabama","Unintentional","323","5.07 M","$1.67 B","$328"
"Alaska","Unintentional","66","733,583","$314.39 M","$429"
"Arizona","Unintentional","1,178","7.36 M","$4.97 B","$676"
"Arkansas","Unintentional","347","3.05 M","$1.58 B","$518"
"California","Unintentional","3,115","39.03 M","$14.18 B","$363"
"Colorado","Unintentional","1,133","5.84 M","$4.54 B","$777"
"Connecticut","Unintentional","531","3.63 M","$2.25 B","$620"
"Delaware","Unintentional","102","1.02 M","$511.71 M","$502"
"District of Columbia","Unintentional","68","671,803","$292.77 M","$436"
"Florida","Unintentional","4,198","22.24 M","$15.88 B","$714"
"Georgia","Unintentional","943","10.91 M","$4.54 B","$416"
"Hawaii","Unintentional","185","1.44 M","$804.79 M","$559"
"Idaho","Unintentional","366","1.94 M","$1.40 B","$721"
"Illinois","Unintentional","1,435","12.58 M","$6.29 B","$500"
"Indiana","Unintentional","738","6.83 M","$3.38 B","$495"
"Iowa","Unintentional","734","3.20 M","$2.81 B","$879"
"Kansas","Unintentional","506","2.94 M","$2.05 B","$697"
"Kentucky","Unintentional","471","4.51 M","$2.11 B","$468"
"Louisiana","Unintentional","454","4.59 M","$1.91 B","$415"
"Maine","Unintentional","345","1.39 M","$1.20 B","$864"
"Maryland","Unintentional","858","6.16 M","$3.43 B","$556"
"Massachusetts","Unintentional","1,260","6.98 M","$4.91 B","$704"
"Michigan","Unintentional","1,591","10.03 M","$6.35 B","$633"
"Minnesota","Unintentional","1,447","5.72 M","$5.24 B","$917"
"Mississippi","Unintentional","389","2.94 M","$1.88 B","$638"
"Missouri","Unintentional","898","6.18 M","$3.86 B","$625"
"Montana","Unintentional","230","1.12 M","$1.07 B","$954"
"Nebraska","Unintentional","247","1.97 M","$1.13 B","$575"
"Nevada","Unintentional","415","3.18 M","$1.92 B","$605"
"New Hampshire","Unintentional","296","1.40 M","$1.14 B","$816"
"New Jersey","Unintentional","623","9.26 M","$2.88 B","$311"
"New Mexico","Unintentional","350","2.11 M","$1.59 B","$751"
"New York","Unintentional","2,096","19.68 M","$9.15 B","$465"
"North Carolina","Unintentional","1,847","10.70 M","$7.70 B","$719"
"North Dakota","Unintentional","102","779,261","$368.93 M","$473"
"Ohio","Unintentional","1,958","11.76 M","$8.19 B","$697"
"Oklahoma","Unintentional","926","4.02 M","$3.68 B","$916"
"Oregon","Unintentional","937","4.24 M","$3.45 B","$814"
"Pennsylvania","Unintentional","2,434","12.97 M","$9.80 B","$756"
"Rhode Island","Unintentional","257","1.09 M","$938.67 M","$858"
"South Carolina","Unintentional","738","5.28 M","$3.11 B","$589"
"South Dakota","Unintentional","217","909,824","$850.75 M","$935"
"Tennessee","Unintentional","1,088","7.05 M","$4.79 B","$680"
"Texas","Unintentional","2,675","30.03 M","$12.79 B","$426"
"Utah","Unintentional","457","3.38 M","$1.93 B","$572"
"Vermont","Unintentional","183","647,064","$662.84 M","$1,024"
"Virginia","Unintentional","1,051","8.68 M","$4.24 B","$488"
"Washington","Unintentional","1,316","7.79 M","$5.25 B","$674"
"West Virginia","Unintentional","407","1.78 M","$1.60 B","$902"
"Wisconsin","Unintentional","1,999","5.89 M","$6.93 B","$1,176"
"Wyoming","Unintentional","100","581,381","$423.29 M","$728"
"","","","","",""
"","","","","",""
"Data Year: 2022","","","","",""
"Currency Year:2020 USD","","","","",""
"Injury Outcome: Fatal","","","","",""
"Intent: Unintentional","","","","",""
"Mechanism: Fall","","","","",""
"Geography: United States","","","","",""
"Sex: All Sexes","","","","",""
"Age: All Ages","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
