"State","Deaths","Population","Combined Costs Total","Combined Costs Per Capita"
"Alabama","1,554","5.07 M","$17.19 B","$3,387"
"Alaska","280","733,583","$3.20 B","$4,365"
"Arizona","2,269","7.36 M","$23.91 B","$3,249"
"Arkansas","903","3.05 M","$9.94 B","$3,262"
"California","6,716","39.03 M","$71.75 B","$1,838"
"Colorado","1,736","5.84 M","$19.14 B","$3,278"
"Connecticut","549","3.63 M","$5.98 B","$1,650"
"Delaware","196","1.02 M","$2.05 B","$2,015"
"District of Columbia","214","671,803","$2.51 B","$3,733"
"Florida","4,958","22.24 M","$51.58 B","$2,319"
"Georgia","2,882","10.91 M","$32.37 B","$2,966"
"Hawaii","289","1.44 M","$3.13 B","$2,176"
"Idaho","501","1.94 M","$5.32 B","$2,745"
"Illinois","2,864","12.58 M","$32.40 B","$2,575"
"Indiana","1,723","6.83 M","$18.87 B","$2,762"
"Iowa","683","3.20 M","$7.32 B","$2,288"
"Kansas","763","2.94 M","$8.33 B","$2,835"
"Kentucky","1,187","4.51 M","$12.90 B","$2,858"
"Louisiana","1,599","4.59 M","$18.31 B","$3,989"
"Maine","304","1.39 M","$3.07 B","$2,217"
"Maryland","1,269","6.16 M","$14.36 B","$2,329"
"Massachusetts","804","6.98 M","$8.66 B","$1,241"
"Michigan","2,309","10.03 M","$25.37 B","$2,529"
"Minnesota","1,079","5.72 M","$11.85 B","$2,072"
"Mississippi","1,003","2.94 M","$11.32 B","$3,849"
"Missouri","1,982","6.18 M","$21.87 B","$3,540"
"Montana","393","1.12 M","$4.15 B","$3,692"
"Nebraska","385","1.97 M","$4.18 B","$2,123"
"Nevada","952","3.18 M","$10.20 B","$3,210"
"New Hampshire","275","1.40 M","$2.82 B","$2,021"
"New Jersey","1,105","9.26 M","$11.90 B","$1,284"
"New Mexico","845","2.11 M","$9.25 B","$4,377"
"New York","2,636","19.68 M","$28.71 B","$1,459"
"North Carolina","2,606","10.70 M","$28.52 B","$2,666"
"North Dakota","201","779,261","$2.25 B","$2,892"
"Ohio","2,760","11.76 M","$30.52 B","$2,596"
"Oklahoma","1,179","4.02 M","$12.81 B","$3,188"
"Oregon","1,119","4.24 M","$11.44 B","$2,698"
"Pennsylvania","3,040","12.97 M","$33.15 B","$2,555"
"Rhode Island","148","1.09 M","$1.61 B","$1,471"
"South Carolina","1,461","5.28 M","$15.93 B","$3,016"
"South Dakota","256","909,824","$3.01 B","$3,308"
"Tennessee","1,996","7.05 M","$21.76 B","$3,086"
"Texas","6,753","30.03 M","$75.94 B","$2,529"
"Utah","798","3.38 M","$8.89 B","$2,629"
"Vermont","147","647,064","$1.47 B","$2,275"
"Virginia","1,875","8.68 M","$20.65 B","$2,378"
"Washington","1,699","7.79 M","$17.83 B","$2,290"
"West Virginia","462","1.78 M","$4.72 B","$2,659"
"Wisconsin","1,258","5.89 M","$13.67 B","$2,320"
"Wyoming","177","581,381","$1.85 B","$3,179"
"","","","",""
"","","","",""
"Data Year: 2022","","","",""
"Currency Year:2020 USD","","","",""
"Injury Outcome: Fatal","","","",""
"Intent: Violence-related","","","",""
"Mechanism: All Injury","","","",""
"Geography: United States","","","",""
"Sex: All Sexes","","","",""
"Age: All Ages","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","",""
