"State","Intent","Deaths","Population","Combined Costs Total","Combined Costs Per Capita"
"Alabama","Unintentional","1,039","5.07 M","$11.02 B","$2,172"
"Alaska","Unintentional","117","733,583","$1.28 B","$1,740"
"Arizona","Unintentional","1,366","7.36 M","$14.51 B","$1,971"
"Arkansas","Unintentional","651","3.05 M","$6.86 B","$2,251"
"California","Unintentional","5,041","39.03 M","$54.10 B","$1,386"
"Colorado","Unintentional","836","5.84 M","$9.07 B","$1,553"
"Connecticut","Unintentional","387","3.63 M","$4.10 B","$1,131"
"Delaware","Unintentional","155","1.02 M","$1.66 B","$1,626"
"District of Columbia","Unintentional","59","671,803","$643.67 M","$958"
"Florida","Unintentional","3,706","22.24 M","$38.29 B","$1,721"
"Georgia","Unintentional","1,908","10.91 M","$20.68 B","$1,895"
"Hawaii","Unintentional","113","1.44 M","$1.18 B","$820"
"Idaho","Unintentional","271","1.94 M","$2.69 B","$1,390"
"Illinois","Unintentional","1,352","12.58 M","$14.20 B","$1,128"
"Indiana","Unintentional","1,012","6.83 M","$10.72 B","$1,569"
"Iowa","Unintentional","385","3.20 M","$4.01 B","$1,254"
"Kansas","Unintentional","457","2.94 M","$4.85 B","$1,652"
"Kentucky","Unintentional","786","4.51 M","$8.01 B","$1,775"
"Louisiana","Unintentional","950","4.59 M","$10.28 B","$2,239"
"Maine","Unintentional","201","1.39 M","$2.06 B","$1,484"
"Maryland","Unintentional","626","6.16 M","$6.72 B","$1,090"
"Massachusetts","Unintentional","479","6.98 M","$4.76 B","$682"
"Michigan","Unintentional","1,223","10.03 M","$12.71 B","$1,267"
"Minnesota","Unintentional","553","5.72 M","$5.64 B","$986"
"Mississippi","Unintentional","763","2.94 M","$8.36 B","$2,845"
"Missouri","Unintentional","1,111","6.18 M","$11.64 B","$1,884"
"Montana","Unintentional","231","1.12 M","$2.48 B","$2,209"
"Nebraska","Unintentional","279","1.97 M","$2.95 B","$1,500"
"Nevada","Unintentional","440","3.18 M","$4.68 B","$1,474"
"New Hampshire","Unintentional","154","1.40 M","$1.55 B","$1,114"
"New Jersey","Unintentional","717","9.26 M","$7.29 B","$787"
"New Mexico","Unintentional","486","2.11 M","$5.34 B","$2,526"
"New York","Unintentional","1,384","19.68 M","$14.22 B","$723"
"North Carolina","Unintentional","1,854","10.70 M","$19.38 B","$1,811"
"North Dakota","Unintentional","108","779,261","$1.11 B","$1,426"
"Ohio","Unintentional","1,395","11.76 M","$14.76 B","$1,255"
"Oklahoma","Unintentional","777","4.02 M","$8.17 B","$2,031"
"Oregon","Unintentional","616","4.24 M","$6.40 B","$1,508"
"Pennsylvania","Unintentional","1,337","12.97 M","$13.69 B","$1,055"
"Rhode Island","Unintentional","77","1.09 M","$798.15 M","$730"
"South Carolina","Unintentional","1,141","5.28 M","$12.37 B","$2,341"
"South Dakota","Unintentional","167","909,824","$1.75 B","$1,922"
"Tennessee","Unintentional","1,338","7.05 M","$14.05 B","$1,992"
"Texas","Unintentional","4,584","30.03 M","$50.57 B","$1,684"
"Utah","Unintentional","323","3.38 M","$3.63 B","$1,073"
"Vermont","Unintentional","81","647,064","$826.03 M","$1,277"
"Virginia","Unintentional","1,086","8.68 M","$11.14 B","$1,283"
"Washington","Unintentional","844","7.79 M","$8.99 B","$1,154"
"West Virginia","Unintentional","290","1.78 M","$2.86 B","$1,612"
"Wisconsin","Unintentional","661","5.89 M","$6.65 B","$1,129"
"Wyoming","Unintentional","110","581,381","$1.27 B","$2,187"
"","","","","",""
"","","","","",""
"Data Year: 2022","","","","",""
"Currency Year:2020 USD","","","","",""
"Injury Outcome: Fatal","","","","",""
"Intent: Unintentional","","","","",""
"Mechanism: Motor vehicle, overall","","","","",""
"Geography: United States","","","","",""
"Sex: All Sexes","","","","",""
"Age: All Ages","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
