measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1990,3332.17549715539,3823.0547482511297,2888.30635360936
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1991,3343.53611032424,3832.19842525184,2897.87243314517
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1992,3356.5774928548703,3839.60593880111,2912.36242063895
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1993,3371.91196927853,3856.7523394167697,2929.49980338505
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1994,3389.2152396543097,3880.88909288285,2948.4067305906
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1995,3408.0582585121997,3907.94017126545,2973.1488206054
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1996,3427.8286803481396,3925.8219416713205,2984.5626968239903
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1997,3447.8912366226396,3946.08927114269,2994.93466240298
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1998,3468.4295732789,3967.21324006456,3007.61994721039
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,1999,3488.5148927255,3992.5593468059196,3022.07521796671
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2000,3507.3099413577897,4017.16908271504,3035.2103168395
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2001,3525.1348386002005,4028.97184849154,3055.71197704354
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2002,3541.9947260729905,4045.59029089355,3073.64814728351
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2003,3557.6169421295504,4061.12285109528,3091.60040490659
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2004,3571.2386424289903,4081.4008978182605,3110.50240475239
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2005,3582.52651164825,4097.300812650939,3116.777309708
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2006,3591.9830136629603,4105.83596292936,3134.61257788002
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2007,3599.06813034985,4116.33845299497,3145.46268666538
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2008,3603.35664653944,4130.78365041269,3148.691571882
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2009,3605.21159199438,4134.79101885658,3146.10583271199
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2010,3605.52776192234,4135.79922260549,3142.10837772491
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2011,3604.8484770004698,4128.776269371099,3143.8109713878303
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2012,3603.38534161915,4121.16124294935,3143.45208496854
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2013,3601.6240571776098,4124.475896556741,3144.94107578014
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2014,3599.7924080167,4122.40010923859,3140.85360343886
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2015,3598.0641980920104,4122.07987561652,3136.3277980682697
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2016,3595.68359259357,4112.60462539597,3141.8874415351397
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2017,3592.3970881784203,4111.1931791831,3141.38170755054
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2018,3589.91342729709,4096.92576923478,3135.31780531311
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2019,3589.3543479455698,4096.00668697519,3134.7071717402505
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2020,4140.26813848409,4783.83847136506,3570.2403289586
Prevalence,Poland,Both,All ages,Anxiety disorders,Rate,2021,4450.69447067994,5154.74178080584,3827.3062702624698
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1990,3886.50089386101,4358.362140421989,3462.14455725701
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1991,3929.46832509592,4403.852687333,3504.7635325137203
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1992,3977.85963012931,4459.17331915325,3556.5819749974603
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1993,4032.47772959596,4516.03035354129,3610.5524356526303
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1994,4092.14705029297,4578.21542656164,3667.7606448774104
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1995,4155.22351648144,4649.51654446662,3724.37084739696
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1996,4227.57502545474,4714.213362733511,3795.32918828668
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1997,4313.4100275747005,4799.923180964201,3869.2639176694097
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1998,4410.86439836293,4909.06059673171,3956.4782122290603
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,1999,4518.03039800687,5034.5520131562,4051.9640266837
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2000,4635.51214644629,5175.8252040212,4152.57137891699
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2001,4800.38988444645,5361.34090374126,4300.7188094671
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2002,5022.2283310620205,5606.009775490979,4496.6528702298
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2003,5267.62999251301,5880.38801930912,4719.50010859515
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2004,5501.76407593999,6142.30471245576,4925.68008435368
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2005,5688.97462971789,6351.08980920444,5089.40875495418
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2006,5842.09161630587,6524.12532652834,5236.436915608931
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2007,5990.27279285424,6689.46902712438,5365.5061889631
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2008,6132.65866707486,6870.914939435541,5509.00017738349
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2009,6271.193913115159,7022.47217780219,5628.68208467307
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2010,6411.12804265754,7179.98455072502,5768.49307210371
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2011,6561.95336393699,7349.379559060069,5894.25829185059
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2012,6722.2962637787305,7527.64529643669,6025.06014545807
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2013,6888.42139623309,7708.91818480456,6165.20138874604
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2014,7058.48518621341,7894.8974675438,6299.77460570933
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2015,7228.79470345908,8085.0338758128,6446.17846934922
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2016,7473.30397811264,8366.454074552079,6669.24267685892
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2017,7809.77698794503,8750.719778917231,6981.48866882477
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2018,8145.87758704044,9129.34531994238,7294.57314472477
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2019,8385.08175599098,9396.22557309015,7508.52262889804
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2020,8454.4127710216,9485.52646287104,7583.887377653061
Prevalence,Poland,Both,All ages,Diabetes mellitus type 2,Rate,2021,8864.47685162385,9946.085882691521,7934.35602440819
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1990,52.77177763744,54.19915192948,51.368052522199996
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1991,55.31085795862,56.6568773825,53.837775232709994
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1992,55.07941683115,56.36775145625,53.775781755100006
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1993,55.073315816240004,56.478358731890005,53.633577065160004
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1994,56.399267437889996,57.789890346289994,54.94680397894
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1995,59.31408182972,60.87991320634,57.78377967897
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1996,58.35591161775,59.96300288811,56.72023849188
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1997,60.00421273133001,61.62941338118001,58.3093406803
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1998,62.03383308382001,63.655859913440004,60.19994267771
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1999,64.60000805803,66.20930781951,62.640439391970006
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2000,65.08265018938,66.66437296342,63.22281453142
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2001,66.73610782879,68.30558367207999,64.95524399298
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2002,67.81085261915,69.40414610641001,66.01121023783
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2003,67.77583901159,69.45948226565,66.00069333072
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2004,69.16243123876,70.90425959776,67.27417040606
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2005,69.94344683813,71.72433355846,68.1090267095
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2006,70.76896739768999,72.53713352192,68.83473019713
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2007,71.6021128299,73.48870620148,69.71643124701001
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2008,71.58387383322,73.53812858915,69.58844625466
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2009,71.99024585440999,74.00673793928,69.81411038041
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2010,71.43033842272,73.31276541462,69.30784581767
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2011,71.96873719491,73.9552508333,69.57700078921
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2012,73.11673988636001,75.12214060574,70.66210801383001
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2013,73.27709830395,75.21901096312,70.85948639041
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2014,73.56559224573,75.52750382149999,71.02152085024
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2015,75.29933350621,77.30724114032,72.7030865318
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2016,74.57931996362,76.48543578777,71.9018715319
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2017,73.7580756677,75.7663549608,71.08966079819
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2018,74.18258806365999,76.21346558194,71.25273941221
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2019,72.85234874458,74.86826766828,70.03913942697
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2020,72.51571188768,76.17337874059001,68.2409400552
Prevalence,Poland,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2021,73.32512653416,79.71210392207,66.54175567385
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1990,2539.30847562829,2860.95495241918,2274.58705908884
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1991,2554.62597344328,2880.4173541273603,2286.3038581478
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1992,2571.8945265666102,2894.22875406264,2299.6180057962797
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1993,2591.4492100582097,2915.04025728537,2315.48166107087
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1994,2613.13781836164,2939.96656805029,2334.01997624802
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1995,2636.59165253785,2966.15687668671,2354.33963497445
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1996,2662.81179688812,2995.65840154746,2376.65433460208
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1997,2691.9867716982003,3028.61835031423,2402.5348436928098
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1998,2722.32519712651,3063.84501821914,2429.62282332527
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,1999,2751.1356867750696,3096.35078427459,2455.27954813342
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2000,2775.54922764075,3124.03340673454,2477.06038523044
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2001,2775.74239042413,3126.4083295980004,2479.43584204195
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2002,2745.50516874972,3092.2116081865797,2455.36374900688
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2003,2703.12260618129,3044.87448771236,2420.1244582744903
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2004,2666.79457243993,3005.61651460307,2386.42952247405
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2005,2655.53357737154,2993.37964604296,2374.68570660064
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2006,2663.25330929642,3000.75576010602,2382.10904501271
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2007,2670.50537367992,3005.75634226267,2389.46918110999
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2008,2677.37588626932,3011.81267912996,2396.04553677391
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2009,2684.30787220875,3018.3222034834803,2402.49308539819
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2010,2691.95155709058,3025.65617256287,2410.1650084490702
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2011,2699.1440011231502,3035.45856334719,2417.0261454567103
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2012,2705.00302141073,3041.68672277496,2423.1819162955
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2013,2710.4700075722703,3045.60749620639,2430.03962383036
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2014,2716.4651866987197,3049.9673410160003,2437.00383713375
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2015,2723.59946892023,3056.70181123812,2444.88385376856
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2016,2765.59348747472,3106.6921162657,2482.8084411064
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2017,2849.37880858256,3200.22005113436,2559.16554383394
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2018,2935.51135087855,3293.4487075254897,2634.77552265991
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2019,2984.4930063996503,3340.0528721524997,2680.50994148703
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2020,3240.22229319651,3647.12520858468,2888.67605007903
Prevalence,Poland,Both,All ages,Depressive disorders,Rate,2021,3350.6573173717698,3766.7166377973704,2977.79617576922
