Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,32716210
"Population, total",SP.POP.TOTL,Albania,ALB,2889104
"Population, total",SP.POP.TOTL,Algeria,DZA,38760168
"Population, total",SP.POP.TOTL,American Samoa,ASM,52217
"Population, total",SP.POP.TOTL,Andorra,AND,71621
"Population, total",SP.POP.TOTL,Angola,AGO,27128337
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89236
"Population, total",SP.POP.TOTL,Argentina,ARG,42669500
"Population, total",SP.POP.TOTL,Armenia,ARM,2889930
"Population, total",SP.POP.TOTL,Aruba,ABW,103594
"Population, total",SP.POP.TOTL,Australia,AUS,23475686
"Population, total",SP.POP.TOTL,Austria,AUT,8546356
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9535079
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,389131
"Population, total",SP.POP.TOTL,Bahrain,BHR,1311134
"Population, total",SP.POP.TOTL,Bangladesh,BGD,155961299
"Population, total",SP.POP.TOTL,Barbados,BRB,277493
"Population, total",SP.POP.TOTL,Belarus,BLR,9448515
"Population, total",SP.POP.TOTL,Belgium,BEL,11209057
"Population, total",SP.POP.TOTL,Belize,BLZ,352335
"Population, total",SP.POP.TOTL,Benin,BEN,10614844
"Population, total",SP.POP.TOTL,Bermuda,BMU,65138
"Population, total",SP.POP.TOTL,Bhutan,BTN,736357
"Population, total",SP.POP.TOTL,Bolivia,BOL,10916987
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3571068
"Population, total",SP.POP.TOTL,Botswana,BWA,2260376
"Population, total",SP.POP.TOTL,Brazil,BRA,203459650
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,28971
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,416656
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7223938
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18169842
"Population, total",SP.POP.TOTL,Burundi,BDI,10494913
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,546076
"Population, total",SP.POP.TOTL,Cambodia,KHM,15210817
"Population, total",SP.POP.TOTL,Cameroon,CMR,22299585
"Population, total",SP.POP.TOTL,Canada,CAN,35434066
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,59559
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4798734
"Population, total",SP.POP.TOTL,Chad,TCD,13697126
"Population, total",SP.POP.TOTL,Channel Islands,CHI,160912
"Population, total",SP.POP.TOTL,Chile,CHL,17687108
"Population, total",SP.POP.TOTL,China,CHN,1371860000
"Population, total",SP.POP.TOTL,Colombia,COL,46677947
"Population, total",SP.POP.TOTL,Comoros,COM,714612
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,76035588
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4944861
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4844288
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22995555
"Population, total",SP.POP.TOTL,Croatia,HRV,4238389
"Population, total",SP.POP.TOTL,Cuba,CUB,11332026
"Population, total",SP.POP.TOTL,Curacao,CUW,155909
"Population, total",SP.POP.TOTL,Cyprus,CYP,1176995
"Population, total",SP.POP.TOTL,Czechia,CZE,10525347
"Population, total",SP.POP.TOTL,Denmark,DNK,5643475
"Population, total",SP.POP.TOTL,Djibouti,DJI,989087
"Population, total",SP.POP.TOTL,Dominica,DMA,69371
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10282115
"Population, total",SP.POP.TOTL,Ecuador,ECU,15957994
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,95592324
"Population, total",SP.POP.TOTL,El Salvador,SLV,6209526
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1295183
"Population, total",SP.POP.TOTL,Eritrea,ERI,3323425
"Population, total",SP.POP.TOTL,Estonia,EST,1314545
"Population, total",SP.POP.TOTL,Ethiopia,ETH,99746766
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48465
"Population, total",SP.POP.TOTL,Fiji,FJI,915560
"Population, total",SP.POP.TOTL,Finland,FIN,5461512
"Population, total",SP.POP.TOTL,France,FRA,66312067
"Population, total",SP.POP.TOTL,French Polynesia,PYF,289873
"Population, total",SP.POP.TOTL,Gabon,GAB,1966855
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2189019
"Population, total",SP.POP.TOTL,Georgia,GEO,3719414
"Population, total",SP.POP.TOTL,Germany,DEU,80982500
"Population, total",SP.POP.TOTL,Ghana,GHA,28196358
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32452
"Population, total",SP.POP.TOTL,Greece,GRC,10892413
