TABL. 6. WYCHOWANKOWIE INSTYTUCJONALNEJ PIECZY ZASTĘPCZEJ WEDŁUG WIEKU ,,,,,,,,,,,
Stan w dniu 31 grudnia ,,,,,,,,,,,
RESIDENTS OF INSTITUTIONAL FOSTER CARE BY AGE ,,,,,,,,,,,"powrót
back"
As of 31st December,,,,,,,,,,,
"WOJEWÓDZTWA
VOIVODSHIPS",,"Ogółem
Total",W tym w wieku lat   Of which at age,,,,,,,,
,,,0,1—3,4—6,7—9,10—13,14—17,"pełnoletni uczący się
adult learners",,
,,,,,,,,,,,
OGÓŁEM,,,,,,,,,,,
TOTAL,,,,,,,,,,,
POLSKA ,2015, 18 876 ,268,741,1 115,1 749,4 290,8 846,1 867,,
POLAND,2020,16 029,169,515,910,1 491,4 052,7 196,1 696,,
,2022,16 572,170,527,974,1 694,4 258,7 622,1 327,,
,2023,17 128,142,489,1 039,1 720,4 367,8 079,1 292,,
Dolnośląskie  ,,2 070,31,109,168,189,540,913,120,,
Kujawsko-pomorskie  ,,1 246,4,39,80,162,308,555,98,,
Lubelskie  ,,1 022,4,27,62,107,273,458,91,,
Lubuskie  ,,527,1,1,6,41,181,257,40,,
Łódzkie  ,,1 213,24,50,119,154,259,518,89,,
Małopolskie  ,,1 099,10,28,48,81,276,572,84,,
Mazowieckie  ,,1 786,32,44,123,203,462,782,140,,
Opolskie  ,,412,—,2,21,38,123,192,36,,
Podkarpackie  ,,691,1,24,41,85,175,281,84,,
Podlaskie  ,,384,4,21,31,49,80,177,22,,
Pomorskie  ,,1 113,5,25,42,70,284,624,63,,
Śląskie  ,,2 307,16,47,124,222,605,1 141,152,,
Świętokrzyskie  ,,612,1,8,35,61,157,288,62,,
Warmińsko-mazurskie  ,,900,3,22,41,87,233,440,74,,
Wielkopolskie  ,,911,1,10,46,86,207,469,92,,
Zachodniopomorskie  ,,835,5,32,52,85,204,412,45,,
,,,,,,,,,,,
PLACÓWKI OPIEKUŃCZO-WYCHOWAWCZE,,,,,,,,,,,
CARE AND EDUCATION CENTRES ,,,,,,,,,,,
POLSKA ,2022,16 202,111,465,902,1 621,4 191,7 587,1 325,,
POLAND,2023,16 769,90,433,966,1 643,4 313,8 034,1 290,,
Dolnośląskie  ,,2 070,31,109,168,189,540,913,120,,
Kujawsko-pomorskie  ,,1 246,4,39,80,162,308,555,98,,
Lubelskie  ,,1 022,4,27,62,107,273,458,91,,
Lubuskie  ,,527,1,1,6,41,181,257,40,,
Łódzkie  ,,1 202,13,50,119,154,259,518,89,,
Małopolskie  ,,1 099,10,28,48,81,276,572,84,,
Mazowieckie  ,,1 761,7,44,123,203,462,782,140,,
Opolskie  ,,412,—,2,21,38,123,192,36,,
Podkarpackie  ,,641,1,17,37,70,160,272,84,,
Podlaskie  ,,365,4,16,27,41,78,177,22,,
Pomorskie  ,,1 068,5,15,28,66,271,620,63,,
Śląskie  ,,2 169,—,17,87,195,592,1 128,150,,
Świętokrzyskie  ,,582,1,8,31,57,152,271,62,,
Warmińsko-mazurskie  ,,900,3,22,41,87,233,440,74,,
Wielkopolskie  ,,911,1,10,46,86,207,469,92,,
Zachodniopomorskie  ,,794,5,28,42,66,198,410,45,,
,,,,,,,,,,,
PLACÓWKI SOCJALIZACYJNE,,,,,,,,,,,
SOCIALIZATION CENTRES ,,,,,,,,,,,
POLSKA ,2022,10 863,43,197,478,963,2 811,5 452,919,,
POLAND,2023,11 085,28,149,460,959,2 907,5 666,916,,
Dolnośląskie  ,,1 432,10,52,81,116,378,709,86,,
Kujawsko-pomorskie  ,,901,—,9,46,106,228,435,77,,
Lubelskie  ,,356,1,6,12,29,91,180,37,,
Lubuskie  ,,430,1,—,5,30,149,216,29,,
Łódzkie  ,,616,3,11,30,58,130,326,58,,
Małopolskie  ,,579,1,—,7,31,146,338,56,,
Mazowieckie  ,,1 319,6,28,84,133,354,605,109,,
Opolskie  ,,361,—,2,14,30,112,169,34,,
Podkarpackie  ,,543,1,11,31,58,135,239,68,,
Podlaskie  ,,26,2,—,1,2,4,13,4,,
Pomorskie  ,,764,1,4,14,42,196,460,47,,
Śląskie  ,,1 841,—,12,65,173,506,961,124,,
Świętokrzyskie  ,,348,1,4,15,30,96,163,39,,
Warmińsko-mazurskie  ,,744,—,6,23,63,203,383,66,,
Wielkopolskie  ,,549,1,3,22,37,102,314,70,,
Zachodniopomorskie  ,,276,—,1,10,21,77,155,12,,
,,,,,,,,,,,
PLACÓWKI RODZINNE,,,,,,,,,,,
FAMILY CENTRES ,,,,,,,,,,,
POLSKA ,2022,1 435,11,95,170,230,377,383,169,,
POLAND,2023,1 393,10,105,174,225,336,405,138,,
Dolnośląskie  ,,268,3,36,44,37,57,67,24,,
Kujawsko-pomorskie  ,,42,—,—,2,5,9,16,10,,
Lubelskie  ,,193,2,12,27,40,56,44,12,,
Lubuskie  ,,31,—,—,1,4,9,11,6,,
Łódzkie  ,,191,—,7,22,38,43,65,16,,
Małopolskie  ,,162,2,16,26,25,40,44,9,,
Mazowieckie  ,,150,—,8,12,27,45,37,21,,
Opolskie  ,,—,—,—,—,—,—,—,—,,
Podkarpackie  ,,7,—,4,3,—,—,—,—,,
Podlaskie  ,,37,1,9,7,10,4,6,—,,
Pomorskie  ,,49,2,6,8,7,13,8,5,,
Śląskie  ,,43,—,1,5,5,9,16,7,,
Świętokrzyskie  ,,74,—,1,7,11,15,29,11,,
Warmińsko-mazurskie  ,,12,—,—,—,—,3,8,1,,
Wielkopolskie  ,,80,—,5,8,8,20,32,7,,
Zachodniopomorskie  ,,54,—,—,2,8,13,22,9,,
,,,,,,,,,,,
PLACÓWKI INTERWENCYJNE,,,,,,,,,,,
INTERVENTION CENTRES ,,,,,,,,,,,
POLSKA ,2022,791,25,70,86,109,211,282,8,,
POLAND,2023,966,30,68,130,157,216,349,16,,
Dolnośląskie  ,,57,17,6,7,5,10,12,—,,
Kujawsko-pomorskie  ,,77,2,9,13,16,18,19,—,,
Lubelskie  ,,42,—,1,6,7,8,20,—,,
Lubuskie  ,,38,—,1,—,5,14,15,3,,
Łódzkie  ,,294,10,31,55,50,59,81,8,,
Małopolskie  ,,71,—,—,6,9,20,36,—,,
Mazowieckie  ,,104,1,4,8,12,20,58,1,,
Opolskie  ,,51,—,—,7,8,11,23,2,,
Podkarpackie  ,,8,—,—,1,3,2,2,—,,
Podlaskie  ,,13,—,2,—,1,3,7,—,,
Pomorskie  ,,41,—,4,5,10,7,14,1,,
Śląskie  ,,24,—,—,1,—,10,13,—,,
Świętokrzyskie  ,,24,—,1,3,4,7,8,1,,
Warmińsko-mazurskie  ,,29,—,—,2,8,8,11,—,,
Wielkopolskie  ,,22,—,—,2,6,6,8,—,,
Zachodniopomorskie  ,,71,—,9,14,13,13,22,—,,
,,,,,,,,,,,
PLACÓWKI SPECJALISTYCZNO-TERAPEUTYCZNE,,,,,,,,,,,
SPECIALIST THERAPY CENTRES ,,,,,,,,,,,
POLSKA ,2022,373,6,18,26,46,87,163,27,,
POLAND,2023,480,7,20,38,63,123,206,23,,
Dolnośląskie  ,,31,—,1,6,9,13,2,—,,
Kujawsko-pomorskie  ,,44,—,3,2,6,9,21,3,,
Lubelskie  ,,13,—,—,—,2,4,5,2,,
Lubuskie  ,,—,—,—,—,—,—,—,—,,
Łódzkie  ,,14,—,—,3,2,4,3,2,,
Małopolskie  ,,204,7,12,7,12,46,111,9,,
Mazowieckie  ,,64,—,4,14,21,13,12,—,,
Opolskie  ,,—,—,—,—,—,—,—,—,,
Podkarpackie  ,,8,—,—,—,—,2,5,1,,
Podlaskie  ,,—,—,—,—,—,—,—,—,,
Pomorskie  ,,19,—,—,—,1,8,10,—,,
Śląskie  ,,—,—,—,—,—,—,—,—,,
Świętokrzyskie  ,,41,—,—,2,2,11,21,5,,
Warmińsko-mazurskie  ,,28,—,—,4,6,8,9,1,,
Wielkopolskie  ,,—,—,—,—,—,—,—,—,,
