TABL. 1. INSTYTUCJONALNA PIECZA ZASTĘPCZA W LATACH 2005-2023,,,,,,,,,
Stan w dniu 31grudnia ,,,,,,,,,"powrót
back"
INSTITUTIONAL FOSTER CARE IN 2005–2023,,,,,,,,,
As of 31st December,,,,,,,,,
"Wyszczególnienie
Specification",2005,2010,2015,2020,2021,2022,2023,,
,,,,,,,,,
OGÓŁEM ,673,779,1 086,1 205,1 273,1 307,1 318,,
TOTAL ,,,,,,,,,
Placówki opiekuńczo-wychowawcze ,673,779,1 078,1 193,1 260,1 294,1 305,,
Care and education centres,,,,,,,,,
Socjalizacyjne  ,291,283,667,751,777,807,812,,
Socialization,,,,,,,,,
Rodzinne  ,238,277,228,223,219,209,204,,
Family,,,,,,,,,
Interwencyjne  ,39,24,45,43,51,56,61,,
Intervention,,,,,,,,,
Specjalistyczno-terapeutyczne  ,.,.,17,22,31,32,37,,
Specialist therapy,,,,,,,,,
Łączące zadaniaa) ,105,195,121,154,182,190,191,,
Combining tasksa) ,,,,,,,,,
,,,,,,,,,
Regionalne placówki opiekuńczo-terapeutyczne  ,.,.,6,10,10,10,10,,
Regional care and therapy centres,,,,,,,,,
Interwencyjne ośrodki preadopcyjne ,.,.,2,2,3,3,3,,
Pre-adoptive intervention centres,,,,,,,,,
,,,,,,,,,
OGÓŁEM WYCHOWANKOWIE ,20 190,18 982,18 876,16 029,15 931,16 572,17 128,,
TOTAL RESIDENTS,,,,,,,,,
W placówkach opiekuńczo-wychowawczych ,20 190,18 982,18 655,15 688,15 575,16 202,16 769,,
In care and education centres,,,,,,,,,
Socjalizacyjnych  ,11 772,8 572,12 946,10 668,10 405,10 863,11 085,,
Socialization,,,,,,,,,
Rodzinnych  ,1 859,2 183,1 782,1 424,1 452,1 435,1 393,,
Family,,,,,,,,,
Interwencyjnych  ,1 514,523,751,594,648,791,966,,
Intervention,,,,,,,,,
Specjalistyczno-terapeutycznych  ,.,.,259,288,360,373,480,,
Specialist therapy,,,,,,,,,
Łączące zadaniaa) ,5 045,7 704,2 917,2 714,2 710,2 740,2 845,,
Combining tasksa) ,,,,,,,,,
,,,,,,,,,
W regionalnych placówkach opiekuńczo-terapeutycznych  ,.,.,178,304,307,314,308,,
In regional care and therapy centres,,,,,,,,,
W interencyjnych ośrodkach preadopcyjnych ,.,.,43,37,49,56,51,,
In pre-adoptive intervention centres,,,,,,,,,
,,,,,,,,,
"a) W latach 2005 i 2010 łączące działania interwencyjne i socjalizacyjne; w latach 2015-2023 łączące zadania placówek typu socjalizacyjnego, interwencyjnego, specjalistyczno-terapeutycznego.",,,,,,,,,
"a) In 2005 i 2010 combining intervention, socialization activities; in 2015-2023 combining tasks of the socialization, intervention and specialist therapy centres.",,,,,,,,,
