COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,2023-12-29,217124.0,90493.0,203.0,85.0,84363.0,79.0,,2021-02-17,,35659.0,33.0
Afghanistan,AFG,EMRO,REPORTING,2023-12-31,2.296475E7,1.9151369E7,59.0,49.0,1.8370386E7,47.0,,2021-02-22,,2729940.0,7.0
Angola,AGO,AFRO,REPORTING,2023-12-31,2.7819132E7,1.6550642E7,85.0,50.0,9609080.0,29.0,,2021-03-10,,3067091.0,9.0
Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864.0,10858.0,166.0,72.0,10382.0,69.0,,2021-02-05,,3231.0,22.0
Albania,ALB,EURO,REPORTING,2023-12-23,3088966.0,1349255.0,107.0,47.0,1279333.0,44.0,,2021-01-13,,402371.0,14.0
Andorra,AND,EURO,REPORTING,2023-12-23,157072.0,57913.0,203.0,75.0,53501.0,69.0,,2021-01-20,,43071.0,56.0
Argentina,ARG,AMRO,REPORTING,2023-12-29,1.16686617E8,4.118865E7,258.0,91.0,3.8090133E7,84.0,,2020-12-29,,2.7718875E7,61.0
Armenia,ARM,EURO,REPORTING,2023-12-23,2256919.0,1150915.0,76.0,39.0,1030758.0,35.0,,2021-01-27,,81354.0,3.0
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512.0,64290.0,139.0,66.0,62384.0,64.0,,2021-03-01,,9838.0,10.0
Australia,AUS,WPRO,REPORTING,2023-12-31,6.9686752E7,2.2443557E7,273.0,88.0,2.176624E7,85.0,,2021-02-21,,1.4391682E7,56.0
Austria,AUT,EURO,REPORTING,2023-12-23,2.0403676E7,6909588.0,229.0,78.0,6682372.0,75.0,,2020-12-30,,5405966.0,61.0
Azerbaijan,AZE,EURO,REPORTING,2023-12-23,1.382936E7,5436662.0,136.0,54.0,4888112.0,48.0,,2021-01-20,,3504588.0,35.0
Burundi,BDI,AFRO,REPORTING,2023-12-31,42252.0,36909.0,,,36321.0,,,2021-10-18,,314.0,
Belgium,BEL,EURO,REPORTING,2023-12-23,2.9117755E7,9248897.0,253.0,80.0,9152736.0,79.0,,2020-12-30,,7246551.0,63.0
Benin,BEN,AFRO,REPORTING,2023-12-31,4232541.0,3697190.0,35.0,30.0,2742837.0,23.0,,2021-03-29,,,
Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609.0,6089089.0,38.0,29.0,5232347.0,25.0,,2021-06-02,,4056.0,
Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016.0,2155863.0,68.0,31.0,2080472.0,30.0,,2020-12-30,,864723.0,12.0
Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359.0,174810.0,93.0,44.0,166972.0,42.0,,2021-03-14,,33717.0,9.0
Bosnia and Herzegovina,BIH,EURO,REPORTING,2023-12-23,1190949.0,546013.0,36.0,17.0,461202.0,14.0,,,,182203.0,6.0
Belarus,BLR,EURO,REPORTING,2023-12-23,2.2765402E7,6451746.0,241.0,68.0,6366658.0,67.0,,2021-02-03,,5724423.0,61.0
Belize,BLZ,AMRO,REPORTING,2023-12-29,511106.0,236221.0,129.0,59.0,221478.0,56.0,,2021-03-01,,53189.0,13.0
