country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,note
Austria,AUT,Europe,8978929,cases,NA,2020-01,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-02,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-03,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-04,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-05,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-06,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-07,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,NA,2020-08,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,12,2020-09,NA,12,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,115,2020-10,1.414422588707406,127,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,874,2020-11,11.0146766947372,1001,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,3046,2020-12,43.65776809238607,4047,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,5098,2020-13,90.70124064907964,9145,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,3114,2020-14,91.45856927925368,12259,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,1838,2020-15,55.15134377385098,14097,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,686,2020-16,28.110256802342462,14783,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,450,2020-17,12.651842998201678,15233,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,309,2020-18,8.453123975030875,15542,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,260,2020-19,6.337058684838693,15802,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,324,2020-20,6.504116470906497,16126,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,264,2020-21,6.548665213857912,16390,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,195,2020-22,5.111968253674798,16585,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,228,2020-23,4.711029567112068,16813,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,172,2020-24,4.454874295141436,16985,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,248,2020-25,4.677618009898508,17233,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,334,2020-26,6.481842099430789,17567,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,640,2020-27,10.847618908669396,18207,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,597,2020-28,13.77669875772489,18804,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,784,2020-29,15.380453503975808,19588,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,872,2020-30,18.443179581885545,20460,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,792,2020-31,18.532277067788375,21252,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,721,2020-32,16.850562021372482,21973,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,1461,2020-33,24.301339279996533,23434,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,1908,2020-34,37.521178750828746,25342,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,1943,2020-35,42.889302276474176,27285,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,2263,2020-36,46.8430032134122,29548,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,3995,2020-37,69.69650834748776,33543,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,5215,2020-38,102.57348064563156,38758,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,4661,2020-39,109.99084634704205,43419,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,5602,2020-40,114.3009372275914,49021,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,7487,2020-41,145.77462412276563,56508,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,9898,2020-42,193.61997405258467,66406,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,18262,2020-43,313.62315037795713,84668,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,31613,2020-44,555.4671386754478,116281,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,44772,2020-45,850.7139325859465,161053,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,47837,2020-46,1031.4036339968832,208890,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,40699,2020-47,986.0418764866055,249589,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,31142,2020-48,800.1065605931398,280731,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,23070,2020-49,603.7691132205189,303801,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,18693,2020-50,465.1222879699795,322494,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,14841,2020-51,373.4743865331823,337335,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,13415,2020-52,314.69232020879105,350750,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,14916,2020-53,315.52760913913005,365666,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,14636,2021-01,329.1261129250493,380302,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,10948,2021-02,284.9337599172463,391250,TESSy COVID-19,
