State Name,State Abbreviations,Gallons of Ethanol per Capita,Driving Fatalities Involving Alcohol (Percentage),Excessive Drinking rate (Percentage)
New Hampshire,NH,4.83,33.10,20.80
Delaware,DE,4.01,25,20.50
Nevada,NV,3.43,27.30,19.50
Montana,MT,3.32,46.40,24.30
North Dakota,ND,3.26,41.40,24.10
Vermont,VT,3.22,35.40,23.20
Wisconsin,WI,3.11,35.60,25.20
Maine,ME,2.99,34.40,22.50
Colorado,CO,2.97,34,20.10
Wyoming,WY,2.94,31.80,20.50
Minnesota,MN,2.85,29.90,23.40
Alaska,AK,2.83,36.90,18.10
Florida,FL,2.74,22,20.20
Hawaii,HI,2.71,31.50,20.70
Oregon,OR,2.71,27.90,21.20
Rhode Island,RI,2.71,40.30,21.70
Missouri,MO,2.68,27.60,19.50
California,CA,2.63,27.70,18.80
New Jersey,NJ,2.63,22.80,16
Massachusetts,MA,2.62,30.50,22.50
Louisiana,LA,2.59,31.20,21.90
Michigan,MI,2.53,29.20,20.50
Connecticut,CT,2.5,30.40,19.20
Illinois,IL,2.42,28.80,22.90
Texas,TX,2.41,25.40,19.60
Mississippi,MS,2.39,18.50,15.90
Indiana,IN,2.34,19,17.70
Iowa,IA,2.34,26.80,24.60
South Dakota,SD,2.34,36.10,24.40
Pennsylvania,PA,2.32,25.40,19.80
North Carolina,NC,2.31,25.90,16.50
New Mexico,NM,2.3,29.40,17.40
Tennessee,TN,2.3,23.50,17.20
Virginia,VA,2.27,30.30,17.30
Washington,WA,2.26,32.70,16.50
Arizona,AZ,2.24,22.30,17.40
New York,NY,2.22,20.20,19
Nebraska,NE,2.17,33.20,23.20
Maryland,MD,2.15,28.30,16
Kansas,KS,2.12,19.40,20
Kentucky,KY,2.12,25.50,18.20
Ohio,OH,2.12,32.50,20.70
South Carolina,SC,2.12,32.80,21.70
Idaho,ID,2.1,31.50,19.60
Alabama,AL,2.08,25.90,14.80
Arkansas,AR,1.92,25.70,15.90
Georgia,GA,1.91,20.70,17.80
Oklahoma,OK,1.85,26.80,14.50
West Virginia,WV,1.82,26.10,15.20
Utah,UT,1.36,21.70,11.90
