LP State alcohol_consumption_per_capita ethanol_consumption_per_capita beer_consumption_per_capita wine_consumption_per_capita
1 New Hampshire 59.5 4.83 1.89 0.84
2 Vermont 49.4 3.22 1.63 0.76
3 Montana 48.7 3.32 1.66 0.54
4 North Dakota 43.9 3.26 1.48 0.33
5 Nevada 41.7 3.43 1.32 0.59
6 Maine 40.4 2.99 1.37 0.44
7 Delaware 40.1 4.01 1.12 0.77
8 District of Columbia 39.2 3.79 1.07 1.01
9 Wisconsin 39.2 3.11 1.27 0.42
10 Hawaii 38.7 2.71 1.28 0.6
11 Pennsylvania 37.6 2.32 1.33 0.32
12 South Dakota 37.6 2.34 1.34 0.22
13 Texas 36.9 2.41 1.25 0.35
14 Louisiana 36.6 2.59 1.24 0.34
15 Iowa 36.4 2.5 1.26 0.23
16 Colorado 36.2 2.97 1.13 0.51
17 Minnesota 35.2 2.85 1.11 0.44
18 Oregon 35.2 2.71 1.13 0.54
19 New Mexico 34.9 2.3 1.2 0.31
20 Mississippi 34.6 2.39 1.19 0.22
21 California 34.5 2.63 1.07 0.62
22 Nebraska 34.1 2.17 1.19 0.22
23 Missouri 33.7 2.68 1.09 0.39
24 Alaska 33.5 2.83 1.02 0.51
25 Florida 33.2 2.74 1.03 0.56
26 Illinois 32.7 2.42 1.05 0.47
27 North Carolina 32.7 2.31 1.06 0.47
28 Wyoming 32.7 2.94 1.2 0.33
29 Ohio 32.2 2.12 1.11 0.31
30 Arizona 31.8 2.24 1.05 0.38
31 Michigan 31.6 2.53 1 0.42
32 Kansas 31 2.12 1.08 0.14
33 South Carolina 30.6 2.12 1.06 0.24
34 Virginia 30.6 2.27 0.96 0.53
35 West Virginia 30.6 1.82 1.14 0.11
36 Alabama 30.3 2.08 1.04 0.25
37 Tennessee 29.9 2.3 0.97 0.35
38 Massachusetts 29.6 2.62 0.85 0.62
39 Indiana 29.5 2.34 0.94 0.34
40 Rhode Island 29 2.71 0.82 0.55
41 New Jersey 28.8 2.63 0.82 0.61
42 Washington 28.4 2.26 0.88 0.51
43 Oklahoma 28.2 1.85 0.98 0.19
44 Connecticut 28 2.5 0.79 0.6
45 Georgia 27.6 1.91 0.93 0.25
46 Kentucky 27.4 2.12 0.91 0.24
47 New York 27.4 2.22 0.84 0.51
48 Arkansas 27.1 1.92 0.91 0.26
49 Idaho 26.5 2.1 0.83 0.32
50 Maryland 25.4 2.15 0.77 0.4
51 Utah 17.7 1.36 0.55 0.2
