Data;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2015-2022 Fold Change
  Total Overdose Deaths;6,1;6,2;6,8;8,2;8,9;9,4;10,1;11,5;11,9;11,9;11,9;12,3;13,2;13,1;13,8;14,7;16,3;19,8;21,7;20,7;21,6;28,3;32,4;32,6;2,0
  Female;3,9;4,1;4,6;5,8;6,4;6,9;7,3;8,2;8,8;8,9;9,1;9,6;10,2;10,2;10,6;11,1;11,8;13,4;14,4;13,6;13,7;17,1;19,6;19,4;1,6
  Male;8,2;8,3;9,0;10,6;11,5;11,8;12,8;14,8;14,9;14,9;14,8;15,0;16,1;16,1;17,0;18,3;20,8;26,2;29,1;27,9;29,6;39,5;45,1;45,6;2,2
Any Opioid1;2,9;3,0;3,3;4,1;4,5;4,7;5,1;5,9;6,1;6,4;6,6;6,8;7,3;7,4;7,9;9,0;10,4;13,3;14,9;14,6;15,5;21,4;24,7;25,0;2,4
  Female;1,4;1,6;1,9;2,6;2,8;3,1;3,4;3,9;4,3;4,4;4,6;4,9;5,2;5,3;5,6;6,3;7,1;8,5;9,4;9,0;9,3;12,3;14,5;14,4;2,0
  Male;4,3;4,4;4,8;5,7;6,1;6,3;6,6;7,8;8,0;8,4;8,7;8,7;9,4;9,5;10,2;11,7;13,7;18,1;20,4;20,1;21,7;30,4;34,8;35,5;2,6
Prescription Opioids2;1,2;1,3;1,7;2,3;2,6;2,9;3,2;3,9;4,2;4,3;4,4;4,7;4,9;4,5;4,4;4,6;4,7;5,2;5,2;4,5;4,2;4,9;4,9;4,3;0,9
  Female;0,7;0,9;1,1;1,6;1,8;2,1;2,4;2,8;3,2;3,2;3,3;3,6;3,8;3,7;3,7;3,9;4,0;4,3;4,2;3,7;3,4;3,8;3,8;3,3;0,8
  Male;1,7;1,8;2,2;2,9;3,3;3,7;4,1;4,9;5,3;5,4;5,5;5,8;5,9;5,3;5,1;5,2;5,4;6,2;6,1;5,3;5,1;6,1;6,0;5,3;1,0
 Prescription Opioids AND Synthetic Opioids other than Methadone;0,0;0,0;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,5;0,7;1,3;1,7;1,7;1,8;2,7;2,9;2,5;3,6
  Female;;;;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,4;0,6;0,9;1,2;1,2;1,2;1,7;2,0;1,6;2,7
  Male;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,5;0,8;1,7;2,3;2,2;2,4;3,6;3,8;3,4;4,3
 Prescription Opioids WITHOUT Synthetic Opioids other than Methadone;1,2;1,3;1,6;2,2;2,5;2,8;3,0;3,7;4,0;4,1;4,1;4,4;4,6;4,2;4,1;4,1;4,0;3,9;3,5;2,8;2,4;2,2;2,0;1,8;0,5
  Female;;;;1,5;1,7;2,0;2,3;2,6;3,0;3,0;3,0;3,3;3,5;3,4;3,4;3,5;3,4;3,4;3,0;2,5;2,2;2,1;1,8;1,7;0,5
  Male;1,6;1,7;2,1;2,8;3,2;3,6;4,0;4,7;5,1;5,2;5,2;5,5;5,6;5,0;4,8;4,7;4,6;4,5;3,8;3,1;2,7;2,5;2,2;1,9;0,4
 Synthetic Opioids other than Methadone (primarily fentanyl)3;0,3;0,3;0,3;0,4;0,5;0,6;0,6;0,9;0,7;0,8;1,0;1,0;0,8;0,8;1,0;1,8;3,1;6,2;9,0;9,9;11,4;17,8;21,8;22,7;7,3
  Female;0,2;0,3;0,3;0,4;0,4;0,5;0,5;0,7;0,7;0,7;0,9;0,9;0,8;0,7;0,9;1,3;1,9;3,5;5,0;5,5;6,3;9,6;12,2;12,4;6,5
  Male;0,3;0,3;0,4;0,5;0,5;0,6;0,6;1,1;0,8;0,8;1,0;1,0;0,9;0,9;1,1;2,2;4,2;8,9;13,0;14,2;16,6;25,9;31,4;32,9;7,8
Heroin4;0,7;0,7;0,6;0,7;0,7;0,6;0,7;0,7;0,8;1,0;1,1;1,0;1,4;1,9;2,7;3,4;4,1;4,9;4,9;4,7;4,4;4,1;2,8;1,8;0,4
  Female;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,2;0,3;0,4;0,4;0,4;0,6;0,8;1,2;1,6;2,0;2,4;2,5;2,3;2,2;2,0;1,5;0,9;0,5
