IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,true,,,,,,,,,,,,,21.86,,,,,,21.9,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,,,,,,,,,,,,,22.84,,,,,,22.8,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,true,,,,,,,,,,,,,22.76,,,,,,22.8,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,AMR,Americas,Country,MEX,Mexico,Year,2019,true,,,,,,,,,,,,,23.63,,,,,,23.6,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,,,,,,,,,,,,,23.87,,,,,,23.9,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,true,,,,,,,,,,,,,23.96,,,,,,24.0,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,AMR,Americas,Country,USA,United States of America,Year,2019,true,,,,,,,,,,,,,24.29,,,,,,24.3,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2019,true,,,,,,,,,,,,,24.62,,,,,,24.6,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,true,,,,,,,,,,,,,24.56,,,,,,24.6,,,EN,2023-04-16T22:00:00.000Z
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,true,,,,,,,,,,,,,24.89,,,,,,24.9,,,EN,2023-04-16T22:00:00.000Z
