Year	Industry	Fatality rate per 100,000 workers	Number of Fatalities	Nonfatal injury and illness involving days away from work rate per 10,000 workers	Number of nonfatal injury and illnesses involving days away from work			
2022	Agriculture, forestry, fishing, and hunting	18,6	417	160	15 200
2022	Mining	16,6	113	70	4 100
2022	Transportation and warehousing	14,1	1 053	220	129 500
2022	Construction	9,6	1 069	100	71 700
2022	Wholesale trade	5,4	171	110	62 200
2022	All industries	3,7	5 486	130	1 483 400
2022	Professional and business services	3,1	598	50	80 200
2022	Retail trade	2,1	301	170	188 800
2022	Information	1,9	48	40	11 300
2022	Other services	2,9	200	80	24 100
2022	Manufacturing	2,6	404	110	134 600
2022	Leisure and hospitality	2,8	306	100	95 300
2022	Government	2,1	481	210	299 200
2022	Utilities	3,4	36	70	4 100
2022	Financial activities	0,9	100	30	26 600
2022	Education and health services	0,8	178	200	336 500
2021	Agriculture, forestry, fishing, and hunting	19,5	453	180	17 100
2021	Mining	14,2	95	60	3 400
2021	Transportation and warehousing	14,5	976	220	122 700
2021	Construction	9,4	986	110	72 800
2021	Wholesale trade	5,1	177	100	54 000
2021	All industries	3,6	5 190	120	1 335 000
2021	Professional and business services	1,4	242	40	73 200
2021	Retail trade	1,9	263	140	156 000
2021	Information	1,5	36	40	9 300
2021	Other services	3,8	242	70	20 400
2021	Manufacturing	2,6	383	120	137 000
2021	Leisure and hospitality	2,4	243	100	80 900
2021	Government	2,4	461	190	272 400
2021	Utilities	3,4	36	70	3 900
2021	Financial activities	0,9	97	30	24 700
2021	Education and health services	0,7	167	170	287 300
2020	Agriculture, forestry, fishing, and hunting	21,5	511	188,7	18 750
2020	Mining	10,5	78	62,1	3 980
2020	Transportation and warehousing	13,4	805	192,5	99 750
2020	Construction	10,2	1 008	108,6	74 520
2020	Wholesale trade	4,6	155	114,9	56 490
2020	All industries	3,4	4 764	120,7	1 176 340
2020	Professional and business services	2,3	400	42,2	68 630
2020	Retail trade	2	275	114,9	125 560
2020	Information	1,3	31	40,1	10 230
2020	Other services	2,1	188	85,5	26 160
2020	Manufacturing	2,3	340	113,3	135 900
2020	Leisure and hospitality	2,5	219	85,2	72 360
2020	Government	1,8	415	170,2	248 220
2020	Utilities	1,8	31	62,9	3 420
2020	Financial activities	0,9	93	32,4	24 990
2020	Education and health services	0,7	145	273	455 590
2019	Agriculture, forestry, fishing, and hunting	23,1	573	172,6	16 980
2019	Mining	14,6	127	53,8	4 200
2019	Transportation and warehousing	13,9	913	201,6	103 560
2019	Construction	9,7	1 061	112,3	79 660
2019	Wholesale trade	4,9	178	97,1	55 450
2019	All industries	3,5	5 333	86,9	888 220
2019	Professional and business services	NR	NR	42,2	69 470
2019	Retail trade	2	291	102,8	120 200
2019	Information	NR	NR	49,4	13 040
2019	Other services	3	210	65,8	21 760
2019	Manufacturing	NR	NR	90,7	116 070
2019	Leisure and hospitality	2,2	271	94,7	98 270
2019	Government	1,8	426	149,5	220 070
2019	Utilities	2	22	67,1	3 700
2019	Financial activities	1	108	28,9	22 380
2019	Education and health services	0,8	197	96,5	163 490
2018	Agriculture, forestry, fishing, and hunting	23,4	574	170,1	17 390
2018	Mining	14,1	130	56,9	4 110
2018	Transportation and warehousing	14	874	208,3	103 620
2018	Construction	9,5	1 008	115,4	77 490
2018	Wholesale trade	5,3	202	99,8	56 180
2018	All industries	3,5	4 779	89,7	900 380
2018	Professional and business services	3,3	585	42,3	67 490
2018	Retail trade	3,2	274	107,6	126 850
2018	Information	3,2	31	60,1	15 580
2018	Other services	2,6	195	78	25 510
2018	Manufacturing	2,2	343	93,9	118 580
2018	Leisure and hospitality	2,2	253	91,3	93 740
2018	Government	1,8	471	158,2	233 300
2018	Utilities	1,2	29	65,5	3 640
2018	Financial activities	1,1	108	30,2	23 030
2018	Education and health services	0,7	168	100,3	167 160
2017	Agriculture, forestry, fishing, and hunting	23	581	170,5	16 970
2017	Transportation and warehousing	15,1	882	203,1	96 090
2017	Mining	12,9	112	72,2	4 770
2017	Construction	9,5	971	124,7	79 810
2017	Wholesale trade	4,8	174	99,4	56 680
2017	All industries	3,5	5 147	89,4	882 730
2017	Professional and business services	3	532	43,5	68 260
2017	Other services	2,9	205	74,4	23 730
2017	Utilities	2,6	28	70,8	3 920
2017	Leisure and hospitality	2,2	262	91,6	93 140
2017	Retail trade	2	287	101,4	120 040
2017	Government	2	473	156,3	226 540
2017	Manufacturing	1,9	303	93	115 550
2017	Information	1,6	43	58,3	14 820
2017	Financial activities	1	101	35,2	26 460
2017	Education and health services	0,8	189	99,5	162 490
2016	Agriculture, forestry, fishing, and hunting	23,2	593	173,5	16 600
2016	Transportation and warehousing	14,3	825	209,3	95 300
2016	Mining	10,1	89	64,3	4 370
2016	Construction	10,1	991	132	82 760
2016	Wholesale trade	4,8	179	95,5	54 290
2016	All industries	3,6	5 190	91,7	892 270
2016	Other services	3,2	223	81,9	26 170
2016	Professional and business services	3,1	540	46,3	71 630
2016	Utilities	2,8	30	69,4	3 880
2016	Leisure and hospitality	2,6	298	92,7	91 250
2016	Government	2,2	497	159	230 700
2016	Manufacturing	2	318	94,9	118 050
2016	Retail trade	1,9	282	103,2	122 390
2016	Information	1,7	46	53,2	13 460
2016	Financial activities	1,2	117	34,9	25 590
2016	Education and health services	0,7	159	104,5	166 530
2015	Agriculture, forestry, fishing, and hunting	22,8	570	189	18 660
2015	Transportation and warehousing	13,8	765	204,3	90 990
2015	Mining	11,4	120	57,9	5 160
2015	Construction	10,1	937	134,8	79 890
2015	Wholesale trade	4,7	175	106,5	60 340
2015	All industries	3,4	4 836	93,9	902 160
2015	Professional and business services	3	477	44,5	67 320
2015	Other services	3	202	75,9	23 600
2015	Manufacturing	2,3	353	99	122 610
2015	Utilities	2,2	22	73,4	4 060
2015	Leisure and hospitality	2	225	96,2	92 670
2015	Government	1,9	457	169,8	251 330
2015	Retail trade	1,8	269	105,3	123 770
2015	Information	1,5	42	56,3	14 050
2015	Financial activities	0,9	83	41,3	30 110
2015	Education and health services	0,7	139	106,8	168 940
2014	Agriculture, forestry, fishing, and hunting	25,6	584	179	17 050
2014	Mining	14,2	183	84,7	7 680
2014	Transportation and warehousing	14,1	766	225,2	95 040
2014	Construction	9,8	899	132,7	74 460
2014	Wholesale trade	5,1	191	106	59 240
2014	All industries	3,4	4 821	97,8	916 440
2014	Professional and business services	2,7	425	53,2	77 720
2014	Other services	2,7	186	85,1	25 940
2014	Manufacturing	2,3	349	103,1	125 990
2014	Leisure and hospitality	2	216	97,2	90 920
2014	Retail trade	1,9	272	104,5	120 640
2014	Government	1,9	435	167,4	240 970
2014	Utilities	1,7	17	69	3 780
2014	Information	1,2	35	62,3	15 730
2014	Financial activities	1,2	117	36,9	26 350
2014	Education and health services	0,7	146	114,1	175 900
2013	Agriculture, forestry, fishing, and hunting	23,2	500	202,5	19 550
2013	Transportation and warehousing	14	733	215,3	87 190
2013	Mining	12,4	155	91,5	7 830
2013	Construction	9,7	828	154,7	82 040
2013	Wholesale trade	5,3	201	101,3	57 190
2013	All industries	3,3	4 585	99,9	917 090
2013	Professional and business services	2,8	430	49	69 710
2013	Other services	2,7	186	79	23 920
2013	Utilities	2,6	24	60,6	3 300
2013	Manufacturing	2,1	312	100,9	120 110
2013	Government	2	484	170,2	245 120
2013	Retail trade	1,9	263	112,8	128 800
2013	Leisure and hospitality	1,9	207	104,5	94 730
2013	Information	1,5	40	64,7	16 090
2013	Financial activities	0,9	87	40,6	29 000
2013	Education and health services	0,7	135	117	177 640
2012	Agriculture, forestry, fishing, and hunting	22,8	509	195,9	17 860
2012	Mining	15,9	181	87,3	7 420
2012	Transportation and warehousing	14,6	741	223,3	90 180
2012	Construction	9,9	806	147,1	75 200
2012	Wholesale trade	5,4	204	105,2	58 140
2012	All industries	3,4	4 628	101,9	918 720
2012	Professional and business services	2,7	409	53,1	73 780
2012	Other services	2,7	199	93	27 320
2012	Utilities	2,5	23	80,2	4 380
2012	Manufacturing	2,2	327	105,5	125 350
2012	Leisure and hospitality	2,2	232	102,8	91 320
2012	Government	2	453	174,7	247 990
2012	Retail trade	1,9	273	112,6	127 010
2012	Information	1,5	42	61,3	15 240
2012	Financial activities	0,9	85	38,2	26 400
2012	Education and health services	0,7	141	120,5	179 120
2011	Agriculture, forestry, fishing, and hunting	24,9	566	182,5	16 280
2011	Mining	15,9	155	92,4	7 060
2011	Transportation and warehousing	15,3	749	224,6	88 230
2011	Construction	9,1	738	147,5	73 600
2011	Wholesale trade	4,9	190	106,4	57 340
2011	Utilities	4,2	39	102,8	5 670
2011	All industries	3,5	4 693	104,3	918 140
2011	Other services	3	183	92,6	26 910
2011	Professional and business services	2,9	433	54,9	73 480
2011	Manufacturing	2,2	327	111,6	129 990
2011	Leisure and hospitality	2,2	231	101,3	86 830
2011	Government	2,2	505	190,6	273 490
2011	Retail trade	1,9	268	114,1	127 420
2011	Information	1,9	56	58,8	14 080
2011	Financial activities	1,1	98	41,8	28 550
2011	Education and health services	0,8	154	125	182 710												
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
