outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2008-10,"West",0.0801947317,0.075905151,0.0847045067
Marijuana Use in the Past Month,12 to 17,2008-10,"West",0.0818576403,0.0759485143,0.0881826475
Marijuana Use in the Past Month,18 or Older,2008-10,"West",0.0800087455,0.0753360597,0.0849446281
Marijuana Use in the Past Month,18 to 25,2008-10,"West",0.1913901301,0.1812749944,0.2019304802
Marijuana Use in the Past Month,26 or Older,2008-10,"West",0.0598464185,0.0547925543,0.0653342116
Marijuana Use in the Past Month,12 or Older,2008-10,"South",0.0554822792,0.0530354695,0.0580350553
Marijuana Use in the Past Month,12 to 17,2008-10,"South",0.061160137,0.0573646055,0.0651894326
Marijuana Use in the Past Month,18 or Older,2008-10,"South",0.0548669684,0.0522406101,0.057617338
Marijuana Use in the Past Month,18 to 25,2008-10,"South",0.1537565774,0.1466268455,0.1611675181
Marijuana Use in the Past Month,26 or Older,2008-10,"South",0.0380485274,0.0352345668,0.0410776525
Marijuana Use in the Past Month,12 or Older,2008-10,"Midwest",0.0619270602,0.0592756308,0.0646889338
Marijuana Use in the Past Month,12 to 17,2008-10,"Midwest",0.0700723534,0.0662964055,0.0740463073
Marijuana Use in the Past Month,18 or Older,2008-10,"Midwest",0.0610417433,0.0582132529,0.0639983265
Marijuana Use in the Past Month,18 to 25,2008-10,"Midwest",0.169969551,0.1624180228,0.1777976525
Marijuana Use in the Past Month,26 or Older,2008-10,"Midwest",0.042141807,0.0391590981,0.045340985
Marijuana Use in the Past Month,12 or Older,2008-10,"Northeast",0.0729883005,0.0694898161,0.0766484087
Marijuana Use in the Past Month,12 to 17,2008-10,"Northeast",0.0828024082,0.0773093413,0.0886482762
Marijuana Use in the Past Month,18 or Older,2008-10,"Northeast",0.0719828854,0.0682369684,0.0759176827
Marijuana Use in the Past Month,18 to 25,2008-10,"Northeast",0.2133058204,0.2038724436,0.2230533956
Marijuana Use in the Past Month,26 or Older,2008-10,"Northeast",0.0482291037,0.0442745956,0.0525174107
Marijuana Use in the Past Month,12 or Older,2008-10,"United States",0.0658359058,0.0639809622,0.0677407361
Marijuana Use in the Past Month,12 to 17,2008-10,"United States",0.0718586711,0.0690955303,0.0747234407
Marijuana Use in the Past Month,18 or Older,2008-10,"United States",0.0651840484,0.0631719763,0.0672556057
Marijuana Use in the Past Month,18 to 25,2008-10,"United States",0.1770913196,0.1726990428,0.1815707885
Marijuana Use in the Past Month,26 or Older,2008-10,"United States",0.045828125,0.0437107458,0.0480429188
Marijuana Use in the Past Month,12 or Older,2008-10,"Alabama",0.048797475,0.0409031867,0.0581230233
Marijuana Use in the Past Month,12 to 17,2008-10,"Alabama",0.0537345817,0.0431149854,0.0667873102
Marijuana Use in the Past Month,18 or Older,2008-10,"Alabama",0.0482652659,0.0399052801,0.0582703377
Marijuana Use in the Past Month,18 to 25,2008-10,"Alabama",0.1383315866,0.1176437651,0.1619895028
Marijuana Use in the Past Month,26 or Older,2008-10,"Alabama",0.0328871953,0.0249909703,0.0431678755
Marijuana Use in the Past Month,12 or Older,2008-10,"Alabama Region 1",0.0453801007,0.0338105451,0.0606600624
Marijuana Use in the Past Month,12 to 17,2008-10,"Alabama Region 1",0.0503776956,0.0358275069,0.0704054835
Marijuana Use in the Past Month,18 or Older,2008-10,"Alabama Region 1",0.044861515,0.0328242349,0.0610345293
Marijuana Use in the Past Month,18 to 25,2008-10,"Alabama Region 1",0.133354962,0.1009160179,0.1742009054
Marijuana Use in the Past Month,26 or Older,2008-10,"Alabama Region 1",0.031412918,0.0208156541,0.0471454958
Marijuana Use in the Past Month,12 or Older,2008-10,"Alabama Region 2",0.0520133727,0.0403358155,0.066836227
Marijuana Use in the Past Month,12 to 17,2008-10,"Alabama Region 2",0.0616456947,0.0449024989,0.0840824537
Marijuana Use in the Past Month,18 or Older,2008-10,"Alabama Region 2",0.0509914289,0.0388229158,0.0667092868
Marijuana Use in the Past Month,18 to 25,2008-10,"Alabama Region 2",0.1435818467,0.1123086593,0.1817800251
Marijuana Use in the Past Month,26 or Older,2008-10,"Alabama Region 2",0.0354396209,0.024459158,0.0510913813
Marijuana Use in the Past Month,12 or Older,2008-10,"Alabama Region 3",0.0575330269,0.0431885207,0.0762621353
Marijuana Use in the Past Month,12 to 17,2008-10,"Alabama Region 3",0.0519701839,0.0358143139,0.0748482313
Marijuana Use in the Past Month,18 or Older,2008-10,"Alabama Region 3",0.0581541602,0.0430665386,0.0780961016
Marijuana Use in the Past Month,18 to 25,2008-10,"Alabama Region 3",0.1528656407,0.1160307292,0.1987647483
Marijuana Use in the Past Month,26 or Older,2008-10,"Alabama Region 3",0.0374426336,0.0246616387,0.0564639684
Marijuana Use in the Past Month,12 or Older,2008-10,"Alabama Region 4",0.0414645729,0.0302193775,0.056649875
Marijuana Use in the Past Month,12 to 17,2008-10,"Alabama Region 4",0.0482138501,0.033225963,0.0694767502
Marijuana Use in the Past Month,18 or Older,2008-10,"Alabama Region 4",0.0407055367,0.029127835,0.0566167702
Marijuana Use in the Past Month,18 to 25,2008-10,"Alabama Region 4",0.1213893828,0.0900503531,0.1616968475
Marijuana Use in the Past Month,26 or Older,2008-10,"Alabama Region 4",0.0276093782,0.0176900622,0.0428481192
Marijuana Use in the Past Month,12 or Older,2008-10,"Alaska",0.1148807679,0.0993312047,0.132506385
Marijuana Use in the Past Month,12 to 17,2008-10,"Alaska",0.0862689456,0.0704281613,0.1052691745
Marijuana Use in the Past Month,18 or Older,2008-10,"Alaska",0.1183524275,0.1013507701,0.1377688873
Marijuana Use in the Past Month,18 to 25,2008-10,"Alaska",0.2361062434,0.2063899187,0.2686527771
Marijuana Use in the Past Month,26 or Older,2008-10,"Alaska",0.0955697008,0.0773000692,0.1176069366
Marijuana Use in the Past Month,12 or Older,2008-10,"Alaska Southeast",0.1081698978,0.0801384456,0.1444665017
Marijuana Use in the Past Month,12 to 17,2008-10,"Alaska Southeast",0.0842990112,0.0587386287,0.1195691833
Marijuana Use in the Past Month,18 or Older,2008-10,"Alaska Southeast",0.110775999,0.0809823976,0.1497447248
Marijuana Use in the Past Month,18 to 25,2008-10,"Alaska Southeast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2008-10,"Alaska Southeast",0.0902090728,0.0612192483,0.1310109834
Marijuana Use in the Past Month,12 or Older,2008-10,"Alaska Anchorage",0.1110888177,0.0916600663,0.1340281347
Marijuana Use in the Past Month,12 to 17,2008-10,"Alaska Anchorage",0.0837858697,0.0631602229,0.110353641
Marijuana Use in the Past Month,18 or Older,2008-10,"Alaska Anchorage",0.1142378912,0.0932920527,0.1391646759
Marijuana Use in the Past Month,18 to 25,2008-10,"Alaska Anchorage",0.2434060704,0.2053744406,0.2859461281
Marijuana Use in the Past Month,26 or Older,2008-10,"Alaska Anchorage",0.0897854863,0.0679097161,0.1178173726
Marijuana Use in the Past Month,12 or Older,2008-10,"Alaska Northern",0.127308925,0.1008774837,0.1594377471
Marijuana Use in the Past Month,12 to 17,2008-10,"Alaska Northern",0.0853641096,0.061383901,0.1175392852
Marijuana Use in the Past Month,18 or Older,2008-10,"Alaska Northern",0.1332655471,0.1045186403,0.1684318757
Marijuana Use in the Past Month,18 to 25,2008-10,"Alaska Northern",0.2370387698,0.1902907784,0.2911417892
Marijuana Use in the Past Month,26 or Older,2008-10,"Alaska Northern",0.1082169849,0.0784972891,0.1473890821
Marijuana Use in the Past Month,12 or Older,2008-10,"Alaska South Central",0.113544514,0.0867523465,0.1472766616
Marijuana Use in the Past Month,12 to 17,2008-10,"Alaska South Central",0.0917213968,0.0667950199,0.1247066835
Marijuana Use in the Past Month,18 or Older,2008-10,"Alaska South Central",0.1161501542,0.0873387834,0.1528738331
Marijuana Use in the Past Month,18 to 25,2008-10,"Alaska South Central",0.2209986191,0.1716335493,0.2797667742
Marijuana Use in the Past Month,26 or Older,2008-10,"Alaska South Central",0.0974455664,0.0683357413,0.1371304851
Marijuana Use in the Past Month,12 or Older,2008-10,"Arizona",0.064983097,0.0541846781,0.0777566046
Marijuana Use in the Past Month,12 to 17,2008-10,"Arizona",0.077418822,0.0620872413,0.0961482173
Marijuana Use in the Past Month,18 or Older,2008-10,"Arizona",0.0635866632,0.0521714487,0.0772958626
Marijuana Use in the Past Month,18 to 25,2008-10,"Arizona",0.1587623747,0.1352030722,0.1855461173
Marijuana Use in the Past Month,26 or Older,2008-10,"Arizona",0.047547536,0.036280143,0.0620887579
Marijuana Use in the Past Month,12 or Older,2008-10,"Arizona Central",0.0616894121,0.049389828,0.0768044975
Marijuana Use in the Past Month,12 to 17,2008-10,"Arizona Central",0.0767250641,0.0581672934,0.1005713037
Marijuana Use in the Past Month,18 or Older,2008-10,"Arizona Central",0.0599773259,0.0471185512,0.0760651671
Marijuana Use in the Past Month,18 to 25,2008-10,"Arizona Central",0.148207744,0.1210034552,0.1802738059
Marijuana Use in the Past Month,26 or Older,2008-10,"Arizona Central",0.045304418,0.0326750404,0.0624998388
Marijuana Use in the Past Month,12 or Older,2008-10,"Arizona South A",0.0798185264,0.0585156816,0.1079872155
Marijuana Use in the Past Month,12 to 17,2008-10,"Arizona South A",0.0937642018,0.0652890629,0.1328927798
Marijuana Use in the Past Month,18 or Older,2008-10,"Arizona South A",0.0783907619,0.0564062224,0.1079634679
Marijuana Use in the Past Month,18 to 25,2008-10,"Arizona South A",0.182483309,0.1356580879,0.2409653182
Marijuana Use in the Past Month,26 or Older,2008-10,"Arizona South A",0.0604667001,0.0399939619,0.0904321429
Marijuana Use in the Past Month,12 or Older,2008-10,"Arizona Rural North",0.0702106258,0.0510200205,0.0958901809
Marijuana Use in the Past Month,12 to 17,2008-10,"Arizona Rural North",0.0722125362,0.0491898855,0.1048226777
Marijuana Use in the Past Month,18 or Older,2008-10,"Arizona Rural North",0.0699892736,0.0501364211,0.0969014162
Marijuana Use in the Past Month,18 to 25,2008-10,"Arizona Rural North",0.1852410198,0.1390278964,0.2424890189
Marijuana Use in the Past Month,26 or Older,2008-10,"Arizona Rural North",0.0507036276,0.0328620195,0.0774561044
Marijuana Use in the Past Month,12 or Older,2008-10,"Arizona Rural South",0.057729394,0.0406728253,0.0813323874
Marijuana Use in the Past Month,12 to 17,2008-10,"Arizona Rural South",0.0675622466,0.044662273,0.1009629773
Marijuana Use in the Past Month,18 or Older,2008-10,"Arizona Rural South",0.056564279,0.0390883768,0.0811932401
Marijuana Use in the Past Month,18 to 25,2008-10,"Arizona Rural South",0.1545825604,0.1109265035,0.2113357935
Marijuana Use in the Past Month,26 or Older,2008-10,"Arizona Rural South",0.0393316435,0.0244444285,0.0627027629
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas",0.0552981757,0.0463260364,0.0658879304
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas",0.0621312991,0.0500467531,0.0768976332
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas",0.0545529746,0.0450832186,0.0658746389
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas",0.1462978029,0.1254571193,0.1699278134
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas",0.0395123595,0.0303495005,0.0512952465
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 8",0.0578234209,0.042780378,0.0777265903
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 8",0.0609607765,0.042031799,0.0876345682
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 8",0.0574708117,0.0418502192,0.0784444516
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 8",0.1693575979,0.1287780673,0.2195025471
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 8",0.0410337554,0.0271504311,0.0615670173
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 1",0.0551898804,0.0397477775,0.0761554851
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 1",0.061170482,0.0417882025,0.0887104063
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 1",0.0545261066,0.0385425434,0.0766098859
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 1",0.1356547854,0.0990079089,0.1831094424
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 1",0.0400081818,0.0257135542,0.0617458284
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 2",0.0483560956,0.0336850382,0.0689609257
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 2",0.0638975076,0.0438774032,0.092171665
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 2",0.0468972974,0.0319541478,0.0683352198
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 2",0.1348800423,0.0955225894,0.1870991942
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 2",0.0337660274,0.0209814573,0.053911611
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 3",0.0531143132,0.0382900593,0.073240789
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 3",0.0579666251,0.0402576058,0.0827936873
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 3",0.0525427018,0.0371879576,0.0737517136
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 3",0.1332943851,0.0985284468,0.1779065942
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 3",0.0386793999,0.0248633496,0.0597027022
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 4",0.0478449815,0.0330948322,0.0687020662
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 4",0.0610197436,0.0412724531,0.0893349555
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 4",0.0463557076,0.031263133,0.0682212589
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 4",0.1210320571,0.0862423254,0.1672865154
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 4",0.0353787136,0.0217111975,0.0571475272
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 5",0.0617647178,0.0468578971,0.081010757
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 5",0.0659569226,0.0464611105,0.0928370022
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 5",0.0613382411,0.0458802896,0.0815590819
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 5",0.1626149865,0.1267563926,0.2062221411
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 5",0.0424644193,0.0284614685,0.0629106626
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 6",0.0645628002,0.0455867261,0.0906873559
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 6",0.0649447307,0.0435150467,0.0958700235
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 6",0.0645208577,0.0448813956,0.0919271295
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 6",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 6",0.047072398,0.0296688114,0.0739072682
Marijuana Use in the Past Month,12 or Older,2008-10,"Arkansas Catchment Area 7",0.051584643,0.0355365789,0.0743214301
Marijuana Use in the Past Month,12 to 17,2008-10,"Arkansas Catchment Area 7",0.0639190065,0.0421892882,0.0957221733
Marijuana Use in the Past Month,18 or Older,2008-10,"Arkansas Catchment Area 7",0.0501904964,0.0338165439,0.0738864146
Marijuana Use in the Past Month,18 to 25,2008-10,"Arkansas Catchment Area 7",0.1307445745,0.09219694,0.18217475
Marijuana Use in the Past Month,26 or Older,2008-10,"Arkansas Catchment Area 7",0.0376113754,0.0230894333,0.0606992953
Marijuana Use in the Past Month,12 or Older,2008-10,"California",0.0805262128,0.0739496475,0.0876323053
Marijuana Use in the Past Month,12 to 17,2008-10,"California",0.0826879583,0.073541585,0.092857853
Marijuana Use in the Past Month,18 or Older,2008-10,"California",0.0802772898,0.0731216592,0.0880666318
Marijuana Use in the Past Month,18 to 25,2008-10,"California",0.193857299,0.1789140773,0.2097298072
Marijuana Use in the Past Month,26 or Older,2008-10,"California",0.058754427,0.051079141,0.0675009817
Marijuana Use in the Past Month,12 or Older,2008-10,"California Region 10",0.1084758041,0.0846898276,0.1379355645
Marijuana Use in the Past Month,12 to 17,2008-10,"California Region 10",0.1123437106,0.0811827014,0.1534677216
Marijuana Use in the Past Month,18 or Older,2008-10,"California Region 10",0.1080279952,0.0833902728,0.1388423391
Marijuana Use in the Past Month,18 to 25,2008-10,"California Region 10",0.2707847974,0.2153168068,0.3344515559
Marijuana Use in the Past Month,26 or Older,2008-10,"California Region 10",0.0740851076,0.0521046731,0.1043175684
Marijuana Use in the Past Month,12 or Older,2008-10,"California LA SPA 1 and 5",0.0903950185,0.0676574025,0.119792252
