outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2010-12,"West",0.0196919685,0.0176657219,0.0219454322
Cocaine Use in the Past Year,12 to 17,2010-12,"West",0.0110090179,0.0091808968,0.0131963104
Cocaine Use in the Past Year,18 or Older,2010-12,"West",0.0206609318,0.0184509165,0.0231294209
Cocaine Use in the Past Year,18 to 25,2010-12,"West",0.0567936031,0.0517313829,0.0623186365
Cocaine Use in the Past Year,26 or Older,2010-12,"West",0.0141529739,0.0118568754,0.0168861163
Cocaine Use in the Past Year,12 or Older,2010-12,"South",0.0152254104,0.013898795,0.0166765075
Cocaine Use in the Past Year,12 to 17,2010-12,"South",0.0083090417,0.0072195995,0.0095612981
Cocaine Use in the Past Year,18 or Older,2010-12,"South",0.0159719286,0.0145176654,0.017569271
Cocaine Use in the Past Year,18 to 25,2010-12,"South",0.0397361455,0.0368551283,0.0428323602
Cocaine Use in the Past Year,26 or Older,2010-12,"South",0.0118832182,0.0102869243,0.0137237854
Cocaine Use in the Past Year,12 or Older,2010-12,"Midwest",0.0140844187,0.0127084016,0.0156070704
Cocaine Use in the Past Year,12 to 17,2010-12,"Midwest",0.0075382318,0.0064824168,0.0087644942
Cocaine Use in the Past Year,18 or Older,2010-12,"Midwest",0.0147955554,0.013295135,0.0164624803
Cocaine Use in the Past Year,18 to 25,2010-12,"Midwest",0.0378400883,0.0348336061,0.0410950108
Cocaine Use in the Past Year,26 or Older,2010-12,"Midwest",0.0108516898,0.0092144125,0.0127761379
Cocaine Use in the Past Year,12 or Older,2010-12,"Northeast",0.0196305284,0.0176403754,0.0218402148
Cocaine Use in the Past Year,12 to 17,2010-12,"Northeast",0.0079293506,0.0067227754,0.0093504383
Cocaine Use in the Past Year,18 or Older,2010-12,"Northeast",0.0208065162,0.0186374483,0.0232220515
Cocaine Use in the Past Year,18 to 25,2010-12,"Northeast",0.0542223246,0.0497078328,0.0591213167
Cocaine Use in the Past Year,26 or Older,2010-12,"Northeast",0.0151936624,0.0128866233,0.0179062291
Cocaine Use in the Past Year,12 or Older,2010-12,"United States",0.016817849,0.0159700027,0.0177098973
Cocaine Use in the Past Year,12 to 17,2010-12,"United States",0.0087238682,0.0078344846,0.0097132276
Cocaine Use in the Past Year,18 or Older,2010-12,"United States",0.0176883707,0.0167556496,0.0186720267
Cocaine Use in the Past Year,18 to 25,2010-12,"United States",0.0460082737,0.0437044605,0.0484273789
Cocaine Use in the Past Year,26 or Older,2010-12,"United States",0.0127908048,0.0118085718,0.0138535942
Cocaine Use in the Past Year,12 or Older,2010-12,"Alabama",0.0106312352,0.0072779404,0.0155054213
Cocaine Use in the Past Year,12 to 17,2010-12,"Alabama",0.0059595831,0.0037824807,0.0093779758
Cocaine Use in the Past Year,18 or Older,2010-12,"Alabama",0.0111333006,0.0074991199,0.0164993794
Cocaine Use in the Past Year,18 to 25,2010-12,"Alabama",0.0241387793,0.0169368166,0.034296358
Cocaine Use in the Past Year,26 or Older,2010-12,"Alabama",0.0088522108,0.0053680784,0.0145645935
Cocaine Use in the Past Year,12 or Older,2010-12,"Alabama Region 1",0.0114514359,0.0073151314,0.0178844558
Cocaine Use in the Past Year,12 to 17,2010-12,"Alabama Region 1",0.0077705439,0.0042059371,0.0143127962
Cocaine Use in the Past Year,18 or Older,2010-12,"Alabama Region 1",0.0118420395,0.0074238839,0.018839653
Cocaine Use in the Past Year,18 to 25,2010-12,"Alabama Region 1",0.031580439,0.0192746995,0.0513314447
Cocaine Use in the Past Year,26 or Older,2010-12,"Alabama Region 1",0.0087522208,0.0048305313,0.0158071804
Cocaine Use in the Past Year,12 or Older,2010-12,"Alabama Region 2",0.0110092825,0.0070470494,0.0171607961
Cocaine Use in the Past Year,12 to 17,2010-12,"Alabama Region 2",0.0051089148,0.0026844193,0.0097018478
Cocaine Use in the Past Year,18 or Older,2010-12,"Alabama Region 2",0.0116297087,0.0073546584,0.0183438006
Cocaine Use in the Past Year,18 to 25,2010-12,"Alabama Region 2",0.0235768804,0.0142040593,0.03889054
Cocaine Use in the Past Year,26 or Older,2010-12,"Alabama Region 2",0.0094644388,0.0054268742,0.0164562263
Cocaine Use in the Past Year,12 or Older,2010-12,"Alabama Region 3",0.0089928605,0.0056213558,0.014357287
Cocaine Use in the Past Year,12 to 17,2010-12,"Alabama Region 3",0.0045777229,0.0023842623,0.0087713691
Cocaine Use in the Past Year,18 or Older,2010-12,"Alabama Region 3",0.009476431,0.0058463646,0.0153256956
Cocaine Use in the Past Year,18 to 25,2010-12,"Alabama Region 3",0.017950709,0.0103917434,0.0308367415
Cocaine Use in the Past Year,26 or Older,2010-12,"Alabama Region 3",0.0076468582,0.004249352,0.0137233524
Cocaine Use in the Past Year,12 or Older,2010-12,"Alabama Region 4",0.0103593994,0.0065553392,0.0163346572
Cocaine Use in the Past Year,12 to 17,2010-12,"Alabama Region 4",0.0060300295,0.0031218095,0.0116159245
Cocaine Use in the Past Year,18 or Older,2010-12,"Alabama Region 4",0.0108399898,0.0067384273,0.017394381
Cocaine Use in the Past Year,18 to 25,2010-12,"Alabama Region 4",0.0222826428,0.0133486628,0.0369718903
Cocaine Use in the Past Year,26 or Older,2010-12,"Alabama Region 4",0.009024815,0.0050912414,0.0159488111
Cocaine Use in the Past Year,12 or Older,2010-12,"Alaska",0.0177404718,0.0134084797,0.0234387875
Cocaine Use in the Past Year,12 to 17,2010-12,"Alaska",0.0084424387,0.0056219877,0.0126598452
Cocaine Use in the Past Year,18 or Older,2010-12,"Alaska",0.0188593548,0.0140960368,0.0251911603
Cocaine Use in the Past Year,18 to 25,2010-12,"Alaska",0.0510685335,0.039023981,0.066573041
Cocaine Use in the Past Year,26 or Older,2010-12,"Alaska",0.0129372635,0.008596879,0.0194260785
Cocaine Use in the Past Year,12 or Older,2010-12,"Alaska Southeast",0.0181017937,0.0121298975,0.0269336647
Cocaine Use in the Past Year,12 to 17,2010-12,"Alaska Southeast",0.0092315642,0.0050645392,0.0167693657
Cocaine Use in the Past Year,18 or Older,2010-12,"Alaska Southeast",0.0190520302,0.0126234474,0.0286593912
Cocaine Use in the Past Year,18 to 25,2010-12,"Alaska Southeast",0.0628457299,0.0396804418,0.098152579
Cocaine Use in the Past Year,26 or Older,2010-12,"Alaska Southeast",0.0129152372,0.007610391,0.0218364773
Cocaine Use in the Past Year,12 or Older,2010-12,"Alaska Anchorage",0.0200436001,0.0145916968,0.0274757042
Cocaine Use in the Past Year,12 to 17,2010-12,"Alaska Anchorage",0.0086689801,0.0050667572,0.0147941307
Cocaine Use in the Past Year,18 or Older,2010-12,"Alaska Anchorage",0.0213673848,0.0154154288,0.0295484461
