outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2006-08,"West",0.5068697602,0.498354874,0.5153806628
Alcohol Use in the Past Month,12 to 17,2006-08,"West",0.1540252451,0.1468906785,0.1614407651
Alcohol Use in the Past Month,18 or Older,2006-08,"West",0.5483362363,0.5388897771,0.5577479914
Alcohol Use in the Past Month,18 to 25,2006-08,"West",0.5889816421,0.5775613646,0.6003068395
Alcohol Use in the Past Month,26 or Older,2006-08,"West",0.5409801357,0.530191437,0.5517305532
Alcohol Use in the Past Month,12 or Older,2006-08,"South",0.4733490848,0.4670846685,0.4796219031
Alcohol Use in the Past Month,12 to 17,2006-08,"South",0.1453355596,0.1399763611,0.1508639497
Alcohol Use in the Past Month,18 or Older,2006-08,"South",0.5102483249,0.5033249368,0.5171677837
Alcohol Use in the Past Month,18 to 25,2006-08,"South",0.5734376706,0.5640523355,0.5827704114
Alcohol Use in the Past Month,26 or Older,2006-08,"South",0.4995560489,0.4918267866,0.5072855234
Alcohol Use in the Past Month,12 or Older,2006-08,"Midwest",0.539089221,0.5324063042,0.5457581151
Alcohol Use in the Past Month,12 to 17,2006-08,"Midwest",0.1640006098,0.1583381688,0.1698246906
Alcohol Use in the Past Month,18 or Older,2006-08,"Midwest",0.5816774324,0.5742989296,0.5890195665
Alcohol Use in the Past Month,18 to 25,2006-08,"Midwest",0.6621724951,0.6533596071,0.6708741936
Alcohol Use in the Past Month,26 or Older,2006-08,"Midwest",0.5676591819,0.5593783861,0.5759023412
Alcohol Use in the Past Month,12 or Older,2006-08,"Northeast",0.561182631,0.5527222044,0.569607639
Alcohol Use in the Past Month,12 to 17,2006-08,"Northeast",0.1787593849,0.1713066815,0.1864633638
Alcohol Use in the Past Month,18 or Older,2006-08,"Northeast",0.602176709,0.59284678,0.6114329695
Alcohol Use in the Past Month,18 to 25,2006-08,"Northeast",0.6670651403,0.6558777869,0.6780673136
Alcohol Use in the Past Month,26 or Older,2006-08,"Northeast",0.5913778546,0.5808784701,0.6017945256
Alcohol Use in the Past Month,12 or Older,2006-08,"United States",0.5118838476,0.5071253658,0.5166401765
Alcohol Use in the Past Month,12 to 17,2006-08,"United States",0.1574689645,0.1536224572,0.1613934179
Alcohol Use in the Past Month,18 or Older,2006-08,"United States",0.5518950373,0.5466409839,0.5571375307
Alcohol Use in the Past Month,18 to 25,2006-08,"United States",0.613830227,0.6076780161,0.6199462998
Alcohol Use in the Past Month,26 or Older,2006-08,"United States",0.5412119203,0.5352046215,0.5472072636
Alcohol Use in the Past Month,12 or Older,2006-08,"Alabama",0.4080160448,0.3825841336,0.4339503076
Alcohol Use in the Past Month,12 to 17,2006-08,"Alabama",0.1423653545,0.1241200047,0.1627942374
Alcohol Use in the Past Month,18 or Older,2006-08,"Alabama",0.43766945,0.4096901473,0.4660509746
Alcohol Use in the Past Month,18 to 25,2006-08,"Alabama",0.5364936258,0.5057543764,0.5669580147
Alcohol Use in the Past Month,26 or Older,2006-08,"Alabama",0.420874937,0.3894977733,0.4529046072
Alcohol Use in the Past Month,12 or Older,2006-08,"Alabama Region 1",0.3917186251,0.346542071,0.4388295502
Alcohol Use in the Past Month,12 to 17,2006-08,"Alabama Region 1",0.1404931418,0.1130744286,0.1732616397
Alcohol Use in the Past Month,18 or Older,2006-08,"Alabama Region 1",0.4182626963,0.3688970743,0.4693217659
