outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2012-14,"West",0.0969873474,0.0924467921,0.1017259169
Marijuana Use in the Past Month,12 to 17,2012-14,"West",0.0858257537,0.0801630672,0.0918485079
Marijuana Use in the Past Month,18 or Older,2012-14,"West",0.0981879608,0.0932457282,0.1033622828
Marijuana Use in the Past Month,18 to 25,2012-14,"West",0.2115971099,0.2025217198,0.2209665005
Marijuana Use in the Past Month,26 or Older,2012-14,"West",0.0780206552,0.0725685822,0.0838453106
Marijuana Use in the Past Month,12 or Older,2012-14,"South",0.0643467888,0.0615289505,0.0672844233
Marijuana Use in the Past Month,12 to 17,2012-14,"South",0.0639731236,0.060199202,0.0679665242
Marijuana Use in the Past Month,18 or Older,2012-14,"South",0.0643873063,0.0613712623,0.0675409059
Marijuana Use in the Past Month,18 to 25,2012-14,"South",0.1688626363,0.1629846444,0.1749083178
Marijuana Use in the Past Month,26 or Older,2012-14,"South",0.0465707151,0.0432763394,0.0501027391
Marijuana Use in the Past Month,12 or Older,2012-14,"Midwest",0.072800717,0.0697228928,0.0760033074
Marijuana Use in the Past Month,12 to 17,2012-14,"Midwest",0.0676899703,0.0637990816,0.0717999523
Marijuana Use in the Past Month,18 or Older,2012-14,"Midwest",0.0733440376,0.0700481131,0.0767822386
Marijuana Use in the Past Month,18 to 25,2012-14,"Midwest",0.1885552619,0.182074818,0.1952113099
Marijuana Use in the Past Month,26 or Older,2012-14,"Midwest",0.0537087888,0.0501271219,0.0575308718
Marijuana Use in the Past Month,12 or Older,2012-14,"Northeast",0.0836293213,0.0795139396,0.0879373532
Marijuana Use in the Past Month,12 to 17,2012-14,"Northeast",0.0769185908,0.0717869909,0.0823844585
Marijuana Use in the Past Month,18 or Older,2012-14,"Northeast",0.0842772978,0.079870335,0.0889039268
Marijuana Use in the Past Month,18 to 25,2012-14,"Northeast",0.2139944664,0.2051719795,0.2230898436
Marijuana Use in the Past Month,26 or Older,2012-14,"Northeast",0.0627236145,0.0579540422,0.067857444
Marijuana Use in the Past Month,12 or Older,2012-14,"United States",0.077266969,0.0753984906,0.0791777856
Marijuana Use in the Past Month,12 to 17,2012-14,"United States",0.0721860177,0.0695333487,0.0749317353
Marijuana Use in the Past Month,18 or Older,2012-14,"United States",0.0777993922,0.0757720032,0.0798763387
Marijuana Use in the Past Month,18 to 25,2012-14,"United States",0.1913236125,0.1866701544,0.1960651109
Marijuana Use in the Past Month,26 or Older,2012-14,"United States",0.0583408373,0.05622165,0.0605347806
Marijuana Use in the Past Month,12 or Older,2012-14,"Alabama",0.0516472856,0.0429497155,0.0619920775
Marijuana Use in the Past Month,12 to 17,2012-14,"Alabama",0.0489766543,0.0384924525,0.0621319157
Marijuana Use in the Past Month,18 or Older,2012-14,"Alabama",0.051926545,0.0428124696,0.062853453
Marijuana Use in the Past Month,18 to 25,2012-14,"Alabama",0.1447019328,0.1241850817,0.1679583697
Marijuana Use in the Past Month,26 or Older,2012-14,"Alabama",0.0360169123,0.0271781079,0.0475896331
Marijuana Use in the Past Month,12 or Older,2012-14,"Alabama Region 1",0.0470745434,0.0349091341,0.0632018141
Marijuana Use in the Past Month,12 to 17,2012-14,"Alabama Region 1",0.0448327226,0.031486228,0.0634658553
Marijuana Use in the Past Month,18 or Older,2012-14,"Alabama Region 1",0.047306423,0.0345891401,0.0643875851
Marijuana Use in the Past Month,18 to 25,2012-14,"Alabama Region 1",0.1350684951,0.1013770914,0.1777421323
Marijuana Use in the Past Month,26 or Older,2012-14,"Alabama Region 1",0.0340551846,0.0223417021,0.0515858628
Marijuana Use in the Past Month,12 or Older,2012-14,"Alabama Region 2",0.0590940691,0.0458467305,0.0758648561
Marijuana Use in the Past Month,12 to 17,2012-14,"Alabama Region 2",0.0545505497,0.0395755874,0.0747508526
Marijuana Use in the Past Month,18 or Older,2012-14,"Alabama Region 2",0.0595622429,0.0457000675,0.0772886772
Marijuana Use in the Past Month,18 to 25,2012-14,"Alabama Region 2",0.1729523397,0.1375979268,0.2151247367
Marijuana Use in the Past Month,26 or Older,2012-14,"Alabama Region 2",0.0394438822,0.0265300978,0.0582673325
Marijuana Use in the Past Month,12 or Older,2012-14,"Alabama Region 3",0.0483175507,0.0368644523,0.0630958085
Marijuana Use in the Past Month,12 to 17,2012-14,"Alabama Region 3",0.0426736431,0.0303103402,0.0597689922
Marijuana Use in the Past Month,18 or Older,2012-14,"Alabama Region 3",0.0489105982,0.0368712198,0.0646173898
Marijuana Use in the Past Month,18 to 25,2012-14,"Alabama Region 3",0.1389610317,0.1062676714,0.1796902872
Marijuana Use in the Past Month,26 or Older,2012-14,"Alabama Region 3",0.0294282566,0.0191987082,0.0448590694
Marijuana Use in the Past Month,12 or Older,2012-14,"Alabama Region 4",0.0493689484,0.0364316734,0.0665829291
Marijuana Use in the Past Month,12 to 17,2012-14,"Alabama Region 4",0.05128148,0.0364665043,0.0716675501
Marijuana Use in the Past Month,18 or Older,2012-14,"Alabama Region 4",0.0491653208,0.0356848687,0.0673823621
Marijuana Use in the Past Month,18 to 25,2012-14,"Alabama Region 4",0.1166654634,0.0859347211,0.1565040989
Marijuana Use in the Past Month,26 or Older,2012-14,"Alabama Region 4",0.0386945271,0.0257898508,0.0576741475
Marijuana Use in the Past Month,12 or Older,2012-14,"Alaska",0.1258942613,0.1099313478,0.1438006281
Marijuana Use in the Past Month,12 to 17,2012-14,"Alaska",0.0881878378,0.072171614,0.1073471373
Marijuana Use in the Past Month,18 or Older,2012-14,"Alaska",0.1302425923,0.1128211665,0.1498996362
Marijuana Use in the Past Month,18 to 25,2012-14,"Alaska",0.2199648051,0.1930758362,0.2494409113
Marijuana Use in the Past Month,26 or Older,2012-14,"Alaska",0.1132904509,0.0942781055,0.1355630096
Marijuana Use in the Past Month,12 or Older,2012-14,"Alaska Southeast",0.1123098916,0.0840012844,0.1486107878
Marijuana Use in the Past Month,12 to 17,2012-14,"Alaska Southeast",0.0840791669,0.0607920219,0.1151926646
Marijuana Use in the Past Month,18 or Older,2012-14,"Alaska Southeast",0.1152397096,0.0850868299,0.1542762664
Marijuana Use in the Past Month,18 to 25,2012-14,"Alaska Southeast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2012-14,"Alaska Southeast",0.0966673651,0.0665056464,0.1384788591
Marijuana Use in the Past Month,12 or Older,2012-14,"Alaska Anchorage",0.123732961,0.1028417698,0.1481670979
Marijuana Use in the Past Month,12 to 17,2012-14,"Alaska Anchorage",0.0897121108,0.068563831,0.1165671523
Marijuana Use in the Past Month,18 or Older,2012-14,"Alaska Anchorage",0.1275214709,0.1048845424,0.1542024045
