outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2010-12,"West",0.0882130553,0.0836624915,0.0929860164
Marijuana Use in the Past Month,12 to 17,2010-12,"West",0.0875163903,0.0818407882,0.0935454902
Marijuana Use in the Past Month,18 or Older,2010-12,"West",0.0882928223,0.0833091992,0.0935441475
Marijuana Use in the Past Month,18 to 25,2010-12,"West",0.20887024,0.1994275694,0.2186379066
Marijuana Use in the Past Month,26 or Older,2010-12,"West",0.0665514693,0.0611605828,0.0723808918
Marijuana Use in the Past Month,12 or Older,2010-12,"South",0.057377189,0.0547295099,0.0601448064
Marijuana Use in the Past Month,12 to 17,2010-12,"South",0.0651908342,0.0616301814,0.0689420881
Marijuana Use in the Past Month,18 or Older,2010-12,"South",0.0565348451,0.0536521726,0.0595626522
Marijuana Use in the Past Month,18 to 25,2010-12,"South",0.1622671684,0.1563631929,0.1683495821
Marijuana Use in the Past Month,26 or Older,2010-12,"South",0.0383486635,0.0353077192,0.0416402098
Marijuana Use in the Past Month,12 or Older,2010-12,"Midwest",0.066844671,0.0638570507,0.0699616241
Marijuana Use in the Past Month,12 to 17,2010-12,"Midwest",0.0713177855,0.067598958,0.0752246916
Marijuana Use in the Past Month,18 or Older,2010-12,"Midwest",0.0663598038,0.0631223756,0.0697509118
Marijuana Use in the Past Month,18 to 25,2010-12,"Midwest",0.183111356,0.1768313554,0.1895630248
Marijuana Use in the Past Month,26 or Older,2010-12,"Midwest",0.0463929272,0.0429806804,0.0500619022
Marijuana Use in the Past Month,12 or Older,2010-12,"Northeast",0.0765503704,0.072527416,0.0807770356
Marijuana Use in the Past Month,12 to 17,2010-12,"Northeast",0.0824779644,0.0772819876,0.087989974
Marijuana Use in the Past Month,18 or Older,2010-12,"Northeast",0.0759484103,0.0716039049,0.0805336491
Marijuana Use in the Past Month,18 to 25,2010-12,"Northeast",0.2139625248,0.2054638242,0.2227142232
Marijuana Use in the Past Month,26 or Older,2010-12,"Northeast",0.0527815036,0.0482491782,0.0577137595
Marijuana Use in the Past Month,12 or Older,2010-12,"United States",0.070076366,0.0682378874,0.0719605518
Marijuana Use in the Past Month,12 to 17,2010-12,"United States",0.0748470562,0.0721637764,0.0776217622
Marijuana Use in the Past Month,18 or Older,2010-12,"United States",0.06956327,0.0675587256,0.071622723
Marijuana Use in the Past Month,18 to 25,2010-12,"United States",0.1871332077,0.1825148091,0.1918410465
Marijuana Use in the Past Month,26 or Older,2010-12,"United States",0.0492310493,0.0470873813,0.0514670374
Marijuana Use in the Past Month,12 or Older,2010-12,"Alabama",0.0501914164,0.0420727177,0.0597790001
Marijuana Use in the Past Month,12 to 17,2010-12,"Alabama",0.0548930688,0.044677432,0.0672800386
Marijuana Use in the Past Month,18 or Older,2010-12,"Alabama",0.0496864419,0.0410714361,0.0599954437
Marijuana Use in the Past Month,18 to 25,2010-12,"Alabama",0.1372042902,0.1173951501,0.1597510007
Marijuana Use in the Past Month,26 or Older,2010-12,"Alabama",0.0343432542,0.0261631018,0.0449629251
Marijuana Use in the Past Month,12 or Older,2010-12,"Alabama Region 1",0.0506961591,0.0382489188,0.0669122516
Marijuana Use in the Past Month,12 to 17,2010-12,"Alabama Region 1",0.0516240948,0.036941567,0.0717077239
Marijuana Use in the Past Month,18 or Older,2010-12,"Alabama Region 1",0.050596058,0.0375079185,0.0679288947
Marijuana Use in the Past Month,18 to 25,2010-12,"Alabama Region 1",0.1393092732,0.1051795756,0.1822579943
Marijuana Use in the Past Month,26 or Older,2010-12,"Alabama Region 1",0.0367695367,0.0250676783,0.0536334384
Marijuana Use in the Past Month,12 or Older,2010-12,"Alabama Region 2",0.0555871116,0.0434360555,0.0708854794
Marijuana Use in the Past Month,12 to 17,2010-12,"Alabama Region 2",0.0627975796,0.0468303029,0.0837308204
Marijuana Use in the Past Month,18 or Older,2010-12,"Alabama Region 2",0.0548270928,0.0421050099,0.0711078167
Marijuana Use in the Past Month,18 to 25,2010-12,"Alabama Region 2",0.1574298959,0.1248198575,0.1966452513
Marijuana Use in the Past Month,26 or Older,2010-12,"Alabama Region 2",0.0362066817,0.0251010627,0.0519639285
Marijuana Use in the Past Month,12 or Older,2010-12,"Alabama Region 3",0.0427500838,0.0316323381,0.0575431619
Marijuana Use in the Past Month,12 to 17,2010-12,"Alabama Region 3",0.0441011515,0.0308653659,0.0626458589
Marijuana Use in the Past Month,18 or Older,2010-12,"Alabama Region 3",0.0426032174,0.030943897,0.0583909329
Marijuana Use in the Past Month,18 to 25,2010-12,"Alabama Region 3",0.1166472323,0.0846393145,0.1586614552
Marijuana Use in the Past Month,26 or Older,2010-12,"Alabama Region 3",0.0263286246,0.0172791914,0.0399248687
Marijuana Use in the Past Month,12 or Older,2010-12,"Alabama Region 4",0.0476929421,0.0359574505,0.063008234
Marijuana Use in the Past Month,12 to 17,2010-12,"Alabama Region 4",0.0564901015,0.0405726006,0.0781437526
Marijuana Use in the Past Month,18 or Older,2010-12,"Alabama Region 4",0.0467223378,0.0345427673,0.0629164926
Marijuana Use in the Past Month,18 to 25,2010-12,"Alabama Region 4",0.1230960322,0.0934537071,0.1604761603
Marijuana Use in the Past Month,26 or Older,2010-12,"Alabama Region 4",0.0347073132,0.0236146394,0.0507398467
Marijuana Use in the Past Month,12 or Older,2010-12,"Alaska",0.1234154487,0.1071841025,0.141714627
Marijuana Use in the Past Month,12 to 17,2010-12,"Alaska",0.0914641624,0.0752623522,0.1107360971
Marijuana Use in the Past Month,18 or Older,2010-12,"Alaska",0.1272520282,0.1094004703,0.147533986
Marijuana Use in the Past Month,18 to 25,2010-12,"Alaska",0.2422026027,0.2136608546,0.2732322578
Marijuana Use in the Past Month,26 or Older,2010-12,"Alaska",0.1060832916,0.0867195811,0.1291592676
Marijuana Use in the Past Month,12 or Older,2010-12,"Alaska Southeast",0.1243189288,0.0937535166,0.1630563074
Marijuana Use in the Past Month,12 to 17,2010-12,"Alaska Southeast",0.1006433606,0.0714786652,0.1399147008
Marijuana Use in the Past Month,18 or Older,2010-12,"Alaska Southeast",0.1268513073,0.0943335859,0.1684928208
Marijuana Use in the Past Month,18 to 25,2010-12,"Alaska Southeast",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2010-12,"Alaska Southeast",0.1059624796,0.073841296,0.1497965171
Marijuana Use in the Past Month,12 or Older,2010-12,"Alaska Anchorage",0.1247627217,0.1039492236,0.1490504381
Marijuana Use in the Past Month,12 to 17,2010-12,"Alaska Anchorage",0.0931672909,0.0721103711,0.1195806113
Marijuana Use in the Past Month,18 or Older,2010-12,"Alaska Anchorage",0.1284350576,0.1058314184,0.1550293954
Marijuana Use in the Past Month,18 to 25,2010-12,"Alaska Anchorage",0.2433291494,0.2043574275,0.2870515911
Marijuana Use in the Past Month,26 or Older,2010-12,"Alaska Anchorage",0.1062366834,0.0826340512,0.1355845081
Marijuana Use in the Past Month,12 or Older,2010-12,"Alaska Northern",0.1313714886,0.1050324785,0.1631117392
Marijuana Use in the Past Month,12 to 17,2010-12,"Alaska Northern",0.0898068193,0.0661706692,0.1207936919
Marijuana Use in the Past Month,18 or Older,2010-12,"Alaska Northern",0.1365546853,0.107844465,0.1714393643
Marijuana Use in the Past Month,18 to 25,2010-12,"Alaska Northern",0.2300551076,0.1844594336,0.2830102288
Marijuana Use in the Past Month,26 or Older,2010-12,"Alaska Northern",0.1149091046,0.0848986805,0.1537454861
Marijuana Use in the Past Month,12 or Older,2010-12,"Alaska South Central",0.1142293108,0.0889636342,0.1455242707
Marijuana Use in the Past Month,12 to 17,2010-12,"Alaska South Central",0.0872417523,0.0640773673,0.1177268635
Marijuana Use in the Past Month,18 or Older,2010-12,"Alaska South Central",0.1176718027,0.0902407202,0.1520477017
Marijuana Use in the Past Month,18 to 25,2010-12,"Alaska South Central",0.2417521628,0.1897301476,0.3027092128
Marijuana Use in the Past Month,26 or Older,2010-12,"Alaska South Central",0.0989128815,0.0714756251,0.1353471915
Marijuana Use in the Past Month,12 or Older,2010-12,"Arizona",0.0697122518,0.0586483871,0.0826799673
Marijuana Use in the Past Month,12 to 17,2010-12,"Arizona",0.0882950176,0.0725852483,0.1070125531
Marijuana Use in the Past Month,18 or Older,2010-12,"Arizona",0.067628744,0.0558241407,0.0817135213
Marijuana Use in the Past Month,18 to 25,2010-12,"Arizona",0.1637803503,0.1397066385,0.1910809692
Marijuana Use in the Past Month,26 or Older,2010-12,"Arizona",0.0509684255,0.0392771953,0.0659009498
Marijuana Use in the Past Month,12 or Older,2010-12,"Arizona Central",0.0665639936,0.0543922137,0.0812255837
Marijuana Use in the Past Month,12 to 17,2010-12,"Arizona Central",0.0885242368,0.0698562601,0.111582474
