outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2012-14,"West",0.5140989631,0.5058008635,0.5223892972
Alcohol Use in the Past Month,12 to 17,2012-14,"West",0.1186272182,0.1118727577,0.1257317546
Alcohol Use in the Past Month,18 or Older,2012-14,"West",0.5566083633,0.5474680193,0.5657105408
Alcohol Use in the Past Month,18 to 25,2012-14,"West",0.5791130277,0.5680590156,0.5900882837
Alcohol Use in the Past Month,26 or Older,2012-14,"West",0.5526050708,0.5421212267,0.56304235
Alcohol Use in the Past Month,12 or Older,2012-14,"South",0.4857300995,0.4796334462,0.4918310024
Alcohol Use in the Past Month,12 to 17,2012-14,"South",0.1135173954,0.1089031732,0.1183011671
Alcohol Use in the Past Month,18 or Older,2012-14,"South",0.5252045314,0.5185034087,0.5318965888
Alcohol Use in the Past Month,18 to 25,2012-14,"South",0.5678353605,0.5602671889,0.5753719977
Alcohol Use in the Past Month,26 or Older,2012-14,"South",0.5179365213,0.51031612,0.5255485883
Alcohol Use in the Past Month,12 or Older,2012-14,"Midwest",0.5523912777,0.5458360745,0.5589283211
Alcohol Use in the Past Month,12 to 17,2012-14,"Midwest",0.118751907,0.113419487,0.1242998818
Alcohol Use in the Past Month,18 or Older,2012-14,"Midwest",0.5984342615,0.591246725,0.605579724
Alcohol Use in the Past Month,18 to 25,2012-14,"Midwest",0.6342158998,0.6258372091,0.642514139
Alcohol Use in the Past Month,26 or Older,2012-14,"Midwest",0.5923365229,0.584160138,0.6004620979
Alcohol Use in the Past Month,12 or Older,2012-14,"Northeast",0.5774601477,0.5693326694,0.5855459011
Alcohol Use in the Past Month,12 to 17,2012-14,"Northeast",0.1381651382,0.1310213238,0.1456331839
Alcohol Use in the Past Month,18 or Older,2012-14,"Northeast",0.6201164613,0.6112250484,0.6289279772
Alcohol Use in the Past Month,18 to 25,2012-14,"Northeast",0.6433472796,0.632344203,0.6542011363
Alcohol Use in the Past Month,26 or Older,2012-14,"Northeast",0.616254748,0.6061873711,0.6262234532
Alcohol Use in the Past Month,12 or Older,2012-14,"United States",0.5231857607,0.5187934498,0.5275744884
Alcohol Use in the Past Month,12 to 17,2012-14,"United States",0.1200243825,0.1165916213,0.1235440785
Alcohol Use in the Past Month,18 or Older,2012-14,"United States",0.5654322765,0.5606663204,0.5701861661
Alcohol Use in the Past Month,18 to 25,2012-14,"United States",0.5980324875,0.5919370424,0.6040977787
Alcohol Use in the Past Month,26 or Older,2012-14,"United States",0.5598444558,0.5544737658,0.5652011721
Alcohol Use in the Past Month,12 or Older,2012-14,"Alabama",0.4405074687,0.4142512366,0.467100794
Alcohol Use in the Past Month,12 to 17,2012-14,"Alabama",0.1107398111,0.0940366272,0.129984207
Alcohol Use in the Past Month,18 or Older,2012-14,"Alabama",0.4749895751,0.4462618019,0.5038838478
Alcohol Use in the Past Month,18 to 25,2012-14,"Alabama",0.5168019474,0.4849822431,0.5484859839
Alcohol Use in the Past Month,26 or Older,2012-14,"Alabama",0.4678217818,0.4352848909,0.5006346509
Alcohol Use in the Past Month,12 or Older,2012-14,"Alabama Region 1",0.390964422,0.3456477602,0.4382432838
Alcohol Use in the Past Month,12 to 17,2012-14,"Alabama Region 1",0.1091475092,0.085269724,0.1386978666
Alcohol Use in the Past Month,18 or Older,2012-14,"Alabama Region 1",0.4201684288,0.3706740891,0.4713220154
Alcohol Use in the Past Month,18 to 25,2012-14,"Alabama Region 1",0.4814954265,0.4238624658,0.5396250167
Alcohol Use in the Past Month,26 or Older,2012-14,"Alabama Region 1",0.4109254254,0.3570249481,0.4670523601
Alcohol Use in the Past Month,12 or Older,2012-14,"Alabama Region 2",0.4622484026,0.4211748806,0.5038408254
Alcohol Use in the Past Month,12 to 17,2012-14,"Alabama Region 2",0.1132289201,0.0902974036,0.1410808719
Alcohol Use in the Past Month,18 or Older,2012-14,"Alabama Region 2",0.4982698834,0.4531767586,0.5433911701
Alcohol Use in the Past Month,18 to 25,2012-14,"Alabama Region 2",0.5319134487,0.4823711432,0.5808344445
Alcohol Use in the Past Month,26 or Older,2012-14,"Alabama Region 2",0.4923001537,0.4418004667,0.5429574587
Alcohol Use in the Past Month,12 or Older,2012-14,"Alabama Region 3",0.4345278081,0.3889447753,0.4812457068
Alcohol Use in the Past Month,12 to 17,2012-14,"Alabama Region 3",0.0953157179,0.0755876295,0.1195270008
Alcohol Use in the Past Month,18 or Older,2012-14,"Alabama Region 3",0.470169966,0.4200099888,0.5209398391
Alcohol Use in the Past Month,18 to 25,2012-14,"Alabama Region 3",0.5278529609,0.4754969707,0.5796033438
Alcohol Use in the Past Month,26 or Older,2012-14,"Alabama Region 3",0.4576748698,0.4004951232,0.5159918475
Alcohol Use in the Past Month,12 or Older,2012-14,"Alabama Region 4",0.4770855986,0.4288191935,0.5257837906
Alcohol Use in the Past Month,12 to 17,2012-14,"Alabama Region 4",0.1214144408,0.0970384853,0.1508903822
Alcohol Use in the Past Month,18 or Older,2012-14,"Alabama Region 4",0.5152617228,0.4622766999,0.5679058658
Alcohol Use in the Past Month,18 to 25,2012-14,"Alabama Region 4",0.5244174528,0.4665723983,0.5816146663
Alcohol Use in the Past Month,26 or Older,2012-14,"Alabama Region 4",0.5138381737,0.4556406631,0.5716628472
Alcohol Use in the Past Month,12 or Older,2012-14,"Alaska",0.5392712838,0.5131752223,0.5651538273
Alcohol Use in the Past Month,12 to 17,2012-14,"Alaska",0.1011161647,0.0811774403,0.1252844524
Alcohol Use in the Past Month,18 or Older,2012-14,"Alaska",0.5897664161,0.5606109738,0.6183044447
Alcohol Use in the Past Month,18 to 25,2012-14,"Alaska",0.5883037816,0.5543308493,0.6214554749
Alcohol Use in the Past Month,26 or Older,2012-14,"Alaska",0.5900421029,0.5567703872,0.6225095941
Alcohol Use in the Past Month,12 or Older,2012-14,"Alaska Southeast",0.5615976949,0.5083826683,0.6134324899
Alcohol Use in the Past Month,12 to 17,2012-14,"Alaska Southeast",0.1017881781,0.0754181558,0.1360220348
Alcohol Use in the Past Month,18 or Older,2012-14,"Alaska Southeast",0.6093447819,0.5504687006,0.6651997167
Alcohol Use in the Past Month,18 to 25,2012-14,"Alaska Southeast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2012-14,"Alaska Southeast",0.6065019506,0.5432183645,0.666402294
Alcohol Use in the Past Month,12 or Older,2012-14,"Alaska Anchorage",0.5700437396,0.5325764301,0.6067255068
Alcohol Use in the Past Month,12 to 17,2012-14,"Alaska Anchorage",0.103856292,0.0803493885,0.1332439438
Alcohol Use in the Past Month,18 or Older,2012-14,"Alaska Anchorage",0.6219381085,0.5804144689,0.6617472478
Alcohol Use in the Past Month,18 to 25,2012-14,"Alaska Anchorage",0.6203169127,0.573057236,0.6653997626
Alcohol Use in the Past Month,26 or Older,2012-14,"Alaska Anchorage",0.6222559234,0.5750816781,0.6672234975
Alcohol Use in the Past Month,12 or Older,2012-14,"Alaska Northern",0.4951867281,0.4452453724,0.5452243175
Alcohol Use in the Past Month,12 to 17,2012-14,"Alaska Northern",0.091717382,0.0686074064,0.1215955296
Alcohol Use in the Past Month,18 or Older,2012-14,"Alaska Northern",0.5443930539,0.4882392161,0.5994403756
Alcohol Use in the Past Month,18 to 25,2012-14,"Alaska Northern",0.5286674027,0.4737033403,0.5829450167
Alcohol Use in the Past Month,26 or Older,2012-14,"Alaska Northern",0.5480726009,0.4836680955,0.610906275
Alcohol Use in the Past Month,12 or Older,2012-14,"Alaska South Central",0.5192233372,0.4716926411,0.5664086177
Alcohol Use in the Past Month,12 to 17,2012-14,"Alaska South Central",0.1048954867,0.0791377066,0.137782531
Alcohol Use in the Past Month,18 or Older,2012-14,"Alaska South Central",0.5691151839,0.5159201469,0.6207615714
Alcohol Use in the Past Month,18 to 25,2012-14,"Alaska South Central",0.5820906844,0.5200597311,0.6416290164
Alcohol Use in the Past Month,26 or Older,2012-14,"Alaska South Central",0.5670174433,0.5092303127,0.62303722
Alcohol Use in the Past Month,12 or Older,2012-14,"Arizona",0.5186803332,0.4914824704,0.545767944
Alcohol Use in the Past Month,12 to 17,2012-14,"Arizona",0.1313055172,0.1117636501,0.1536731241
Alcohol Use in the Past Month,18 or Older,2012-14,"Arizona",0.5614839215,0.5314052801,0.5911174095
Alcohol Use in the Past Month,18 to 25,2012-14,"Arizona",0.5814825298,0.5468700209,0.6153109609
