outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2014-16,"West",0.0222716583,0.0205218223,0.0241670164
Cocaine Use in the Past Year,12 to 17,2014-16,"West",0.0089138528,0.0070482004,0.011267738
Cocaine Use in the Past Year,18 or Older,2014-16,"West",0.023662719,0.0217665967,0.0257196728
Cocaine Use in the Past Year,18 to 25,2014-16,"West",0.0647983288,0.0592213894,0.0708608964
Cocaine Use in the Past Year,26 or Older,2014-16,"West",0.0165724098,0.014693817,0.0186866241
Cocaine Use in the Past Year,12 or Older,2014-16,"South",0.0153227926,0.0141935258,0.0165403987
Cocaine Use in the Past Year,12 to 17,2014-16,"South",0.0048606613,0.0038698387,0.0061036169
Cocaine Use in the Past Year,18 or Older,2014-16,"South",0.0164165614,0.015197594,0.0177315393
Cocaine Use in the Past Year,18 to 25,2014-16,"South",0.0438607077,0.0405270477,0.0474550241
Cocaine Use in the Past Year,26 or Older,2014-16,"South",0.0118570522,0.0105963016,0.0132657959
Cocaine Use in the Past Year,12 or Older,2014-16,"Midwest",0.0142793372,0.0130128747,0.0156671001
Cocaine Use in the Past Year,12 to 17,2014-16,"Midwest",0.0052321421,0.0041624077,0.0065749819
Cocaine Use in the Past Year,18 or Older,2014-16,"Midwest",0.0152234091,0.0138528937,0.0167272143
Cocaine Use in the Past Year,18 to 25,2014-16,"Midwest",0.0422562775,0.0384423231,0.0464303522
Cocaine Use in the Past Year,26 or Older,2014-16,"Midwest",0.0106627109,0.0092945924,0.0122297239
Cocaine Use in the Past Year,12 or Older,2014-16,"Northeast",0.022468814,0.0206086487,0.0244926815
Cocaine Use in the Past Year,12 to 17,2014-16,"Northeast",0.0060285174,0.0047747132,0.0076090439
Cocaine Use in the Past Year,18 or Older,2014-16,"Northeast",0.0240240745,0.0220152548,0.0262112797
Cocaine Use in the Past Year,18 to 25,2014-16,"Northeast",0.0617393918,0.0565247205,0.0674007733
Cocaine Use in the Past Year,26 or Older,2014-16,"Northeast",0.0178804018,0.0158429844,0.0201744611
Cocaine Use in the Past Year,12 or Older,2014-16,"United States",0.0180140787,0.0172470487,0.018814568
