outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2016-18,"West",0.5105474555,0.5035602931,0.5175304991
Alcohol Use in the Past Month,12 to 17,2016-18,"West",0.0878598898,0.0822495636,0.0938137832
Alcohol Use in the Past Month,18 or Older,2016-18,"West",0.5537021393,0.546027741,0.5613510246
Alcohol Use in the Past Month,18 to 25,2016-18,"West",0.5446714215,0.5282858161,0.5609608725
Alcohol Use in the Past Month,26 or Older,2016-18,"West",0.5551985179,0.5469122134,0.5634542409
Alcohol Use in the Past Month,12 or Older,2016-18,"South",0.4723179776,0.4668918453,0.4777506582
Alcohol Use in the Past Month,12 to 17,2016-18,"South",0.0895047754,0.0849737866,0.0942524801
Alcohol Use in the Past Month,18 or Older,2016-18,"South",0.5118275575,0.505855036,0.5177967039
Alcohol Use in the Past Month,18 to 25,2016-18,"South",0.5225904747,0.5079505958,0.5371916432
Alcohol Use in the Past Month,26 or Older,2016-18,"South",0.5101004957,0.5037103001,0.516487392
Alcohol Use in the Past Month,12 or Older,2016-18,"Midwest",0.5445030254,0.5378367823,0.551153359
Alcohol Use in the Past Month,12 to 17,2016-18,"Midwest",0.0988996066,0.0934987591,0.1045764376
Alcohol Use in the Past Month,18 or Older,2016-18,"Midwest",0.5902490759,0.5828898483,0.5975681057
Alcohol Use in the Past Month,18 to 25,2016-18,"Midwest",0.6020961715,0.5866982669,0.6172946158
Alcohol Use in the Past Month,26 or Older,2016-18,"Midwest",0.5883148168,0.5802826801,0.5963001784
Alcohol Use in the Past Month,12 or Older,2016-18,"Northeast",0.5583138925,0.5506550893,0.5659450542
Alcohol Use in the Past Month,12 to 17,2016-18,"Northeast",0.1041055996,0.0978641344,0.1106962818
Alcohol Use in the Past Month,18 or Older,2016-18,"Northeast",0.6002999579,0.5919457558,0.6085962152
Alcohol Use in the Past Month,18 to 25,2016-18,"Northeast",0.6214148349,0.6046121362,0.6379310849
Alcohol Use in the Past Month,26 or Older,2016-18,"Northeast",0.5969513932,0.5877933088,0.6060423806
Alcohol Use in the Past Month,12 or Older,2016-18,"United States",0.5116696315,0.5074721449,0.515865473
Alcohol Use in the Past Month,12 to 17,2016-18,"United States",0.0934866132,0.0899976129,0.0970964419
Alcohol Use in the Past Month,18 or Older,2016-18,"United States",0.5538717965,0.5493769732,0.5583578275
Alcohol Use in the Past Month,18 to 25,2016-18,"United States",0.5620341737,0.5549657681,0.569077486
Alcohol Use in the Past Month,26 or Older,2016-18,"United States",0.5525544069,0.5475999403,0.5574984599
Alcohol Use in the Past Month,12 or Older,2016-18,"Alabama",0.4233778765,0.4003544612,0.4467389105
Alcohol Use in the Past Month,12 to 17,2016-18,"Alabama",0.0860449549,0.071223502,0.1036066589
Alcohol Use in the Past Month,18 or Older,2016-18,"Alabama",0.4574700362,0.432311229,0.4828476598
Alcohol Use in the Past Month,18 to 25,2016-18,"Alabama",0.4971515403,0.4617460605,0.5325856094
Alcohol Use in the Past Month,26 or Older,2016-18,"Alabama",0.4510903494,0.4229802351,0.4795161351
Alcohol Use in the Past Month,12 or Older,2016-18,"Alabama Region 1",0.3924882421,0.356034398,0.430181191
Alcohol Use in the Past Month,12 to 17,2016-18,"Alabama Region 1",0.0899314295,0.0676810619,0.118566417
Alcohol Use in the Past Month,18 or Older,2016-18,"Alabama Region 1",0.4235962256,0.3838853376,0.4643191938
Alcohol Use in the Past Month,18 to 25,2016-18,"Alabama Region 1",0.4696354236,0.4133852652,0.5266677621
Alcohol Use in the Past Month,26 or Older,2016-18,"Alabama Region 1",0.4169420324,0.3738003025,0.4613941938
Alcohol Use in the Past Month,12 or Older,2016-18,"Alabama Region 2",0.4528153698,0.415966985,0.4901882608
Alcohol Use in the Past Month,12 to 17,2016-18,"Alabama Region 2",0.0860476806,0.0645852654,0.1137748072
Alcohol Use in the Past Month,18 or Older,2016-18,"Alabama Region 2",0.4895127663,0.4493343421,0.5298271454
Alcohol Use in the Past Month,18 to 25,2016-18,"Alabama Region 2",0.539078733,0.4820257299,0.595125908
Alcohol Use in the Past Month,26 or Older,2016-18,"Alabama Region 2",0.4813698787,0.4371711519,0.5258621021
Alcohol Use in the Past Month,12 or Older,2016-18,"Alabama Region 3",0.4356876074,0.3923751512,0.4800042387
Alcohol Use in the Past Month,12 to 17,2016-18,"Alabama Region 3",0.0778269081,0.0555753602,0.1079691228
Alcohol Use in the Past Month,18 or Older,2016-18,"Alabama Region 3",0.4703808039,0.423247101,0.5180487612
Alcohol Use in the Past Month,18 to 25,2016-18,"Alabama Region 3",0.519835131,0.4581171504,0.5809536059
Alcohol Use in the Past Month,26 or Older,2016-18,"Alabama Region 3",0.4607035162,0.4090037593,0.5132628262
Alcohol Use in the Past Month,12 or Older,2016-18,"Alabama Region 4",0.4101944806,0.3689579898,0.452733241
Alcohol Use in the Past Month,12 to 17,2016-18,"Alabama Region 4",0.0874099218,0.0650152431,0.1165568793
Alcohol Use in the Past Month,18 or Older,2016-18,"Alabama Region 4",0.4436543018,0.3986742292,0.4895774647
Alcohol Use in the Past Month,18 to 25,2016-18,"Alabama Region 4",0.4403512398,0.3777662982,0.5048914985
Alcohol Use in the Past Month,26 or Older,2016-18,"Alabama Region 4",0.4440738255,0.3952795766,0.4939711848
Alcohol Use in the Past Month,12 or Older,2016-18,"Alaska",0.5139221805,0.4905379642,0.5372456044
Alcohol Use in the Past Month,12 to 17,2016-18,"Alaska",0.0952633368,0.0795202188,0.1137380993
Alcohol Use in the Past Month,18 or Older,2016-18,"Alaska",0.5604119149,0.5345701414,0.5859302629
Alcohol Use in the Past Month,18 to 25,2016-18,"Alaska",0.5335680924,0.4960198112,0.5707398591
Alcohol Use in the Past Month,26 or Older,2016-18,"Alaska",0.5648639677,0.5358196983,0.5934697281
Alcohol Use in the Past Month,12 or Older,2016-18,"Alaska Southeast",0.5620932766,0.5111799286,0.6117315577
Alcohol Use in the Past Month,12 to 17,2016-18,"Alaska Southeast",0.1237919339,0.0899175943,0.1680709099
Alcohol Use in the Past Month,18 or Older,2016-18,"Alaska Southeast",0.6056202426,0.55033865,0.6583249668
Alcohol Use in the Past Month,18 to 25,2016-18,"Alaska Southeast",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2016-18,"Alaska Southeast",0.6070491286,0.5483356703,0.6628234296
Alcohol Use in the Past Month,12 or Older,2016-18,"Alaska Anchorage",0.5263034135,0.4936114001,0.5587714499
Alcohol Use in the Past Month,12 to 17,2016-18,"Alaska Anchorage",0.0905898483,0.0705554258,0.1156055201
Alcohol Use in the Past Month,18 or Older,2016-18,"Alaska Anchorage",0.5732984378,0.5372134329,0.6086196387
Alcohol Use in the Past Month,18 to 25,2016-18,"Alaska Anchorage",0.5438042832,0.4899229042,0.5966795554
Alcohol Use in the Past Month,26 or Older,2016-18,"Alaska Anchorage",0.5782151254,0.5384306311,0.617009644
Alcohol Use in the Past Month,12 or Older,2016-18,"Alaska Northern",0.5038040413,0.4635077866,0.544050938
Alcohol Use in the Past Month,12 to 17,2016-18,"Alaska Northern",0.0912628839,0.0673447491,0.1225594851
Alcohol Use in the Past Month,18 or Older,2016-18,"Alaska Northern",0.5525489237,0.5080085129,0.5962616971
Alcohol Use in the Past Month,18 to 25,2016-18,"Alaska Northern",0.5140853004,0.4543653484,0.5734057451
Alcohol Use in the Past Month,26 or Older,2016-18,"Alaska Northern",0.5602285598,0.5108525446,0.6084406836
Alcohol Use in the Past Month,12 or Older,2016-18,"Alaska South Central",0.484175794,0.4452425107,0.5233021128
Alcohol Use in the Past Month,12 to 17,2016-18,"Alaska South Central",0.0955350583,0.071385948,0.1267385871
Alcohol Use in the Past Month,18 or Older,2016-18,"Alaska South Central",0.528787473,0.4858586746,0.5712946269
Alcohol Use in the Past Month,18 to 25,2016-18,"Alaska South Central",0.515047425,0.451288783,0.5783199954
Alcohol Use in the Past Month,26 or Older,2016-18,"Alaska South Central",0.5308472506,0.4841863763,0.5769749408
Alcohol Use in the Past Month,12 or Older,2016-18,"Arizona",0.5041434611,0.479272373,0.5289940606
Alcohol Use in the Past Month,12 to 17,2016-18,"Arizona",0.0814323136,0.0662552437,0.0997147234
Alcohol Use in the Past Month,18 or Older,2016-18,"Arizona",0.548336138,0.5209449652,0.5754375484
Alcohol Use in the Past Month,18 to 25,2016-18,"Arizona",0.5124965859,0.4734455527,0.5513956607
Alcohol Use in the Past Month,26 or Older,2016-18,"Arizona",0.5542798488,0.5240105546,0.5841518203
Alcohol Use in the Past Month,12 or Older,2016-18,"Arizona Central",0.501448618,0.47129012,0.5315965791
Alcohol Use in the Past Month,12 to 17,2016-18,"Arizona Central",0.079197931,0.0609581125,0.1023008764
Alcohol Use in the Past Month,18 or Older,2016-18,"Arizona Central",0.5474997918,0.5142393985,0.5803413241
Alcohol Use in the Past Month,18 to 25,2016-18,"Arizona Central",0.5074292651,0.4587509794,0.5559670925
Alcohol Use in the Past Month,26 or Older,2016-18,"Arizona Central",0.5541770023,0.517390387,0.5903795503
Alcohol Use in the Past Month,12 or Older,2016-18,"Arizona South A",0.5363808213,0.4876222953,0.5844535167
Alcohol Use in the Past Month,12 to 17,2016-18,"Arizona South A",0.0871687288,0.0616911773,0.1218022887
