outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2002-04,"West",0.5099916504,0.5000479945,0.519927406
Alcohol Use in the Past Month,12 to 17,2002-04,"West",0.1705941085,0.1627601196,0.1787246717
Alcohol Use in the Past Month,18 or Older,2002-04,"West",0.55172865,0.5407160336,0.5626907677
Alcohol Use in the Past Month,18 to 25,2002-04,"West",0.5668620584,0.5553556473,0.5782968101
Alcohol Use in the Past Month,26 or Older,2002-04,"West",0.5489620299,0.5364298951,0.5614323578
Alcohol Use in the Past Month,12 or Older,2002-04,"South",0.4560957458,0.4486712966,0.4635397577
Alcohol Use in the Past Month,12 to 17,2002-04,"South",0.1644299573,0.1589767366,0.1700324165
Alcohol Use in the Past Month,18 or Older,2002-04,"South",0.4901937269,0.4819935383,0.4983991961
Alcohol Use in the Past Month,18 to 25,2002-04,"South",0.5690266131,0.5605960089,0.5774173952
Alcohol Use in the Past Month,26 or Older,2002-04,"South",0.4764581052,0.4672703556,0.485661816
Alcohol Use in the Past Month,12 or Older,2002-04,"Midwest",0.532322839,0.5249991074,0.5396326692
Alcohol Use in the Past Month,12 to 17,2002-04,"Midwest",0.1889442241,0.1830059287,0.1950292113
Alcohol Use in the Past Month,18 or Older,2002-04,"Midwest",0.5727959109,0.5646791149,0.5808736967
Alcohol Use in the Past Month,18 to 25,2002-04,"Midwest",0.6626443649,0.6542392197,0.6709479527
Alcohol Use in the Past Month,26 or Older,2002-04,"Midwest",0.5567014227,0.5475298596,0.5658344942
Alcohol Use in the Past Month,12 or Older,2002-04,"Northeast",0.5521206303,0.5425606936,0.5616421955
Alcohol Use in the Past Month,12 to 17,2002-04,"Northeast",0.1918906249,0.18427632,0.1997425129
Alcohol Use in the Past Month,18 or Older,2002-04,"Northeast",0.5918047913,0.5813022469,0.6022241621
Alcohol Use in the Past Month,18 to 25,2002-04,"Northeast",0.6584233744,0.6482955361,0.6684087383
Alcohol Use in the Past Month,26 or Older,2002-04,"Northeast",0.5812003225,0.569365898,0.5929420353
Alcohol Use in the Past Month,12 or Older,2002-04,"United States",0.5038054752,0.4992239341,0.5083863773
Alcohol Use in the Past Month,12 to 17,2002-04,"United States",0.1764031817,0.1727402815,0.1801268406
Alcohol Use in the Past Month,18 or Older,2002-04,"United States",0.5421768065,0.5371269114,0.5472180501
Alcohol Use in the Past Month,18 to 25,2002-04,"United States",0.6060314518,0.5998449558,0.6121841401
