outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2016-18,"West",0.0254312833,0.0236087738,0.0273905369
Cocaine Use in the Past Year,12 to 17,2016-18,"West",0.0063532946,0.0050125638,0.0080497349
Cocaine Use in the Past Year,18 or Older,2016-18,"West",0.0273790433,0.0253905827,0.0295185134
Cocaine Use in the Past Year,18 to 25,2016-18,"West",0.0727304664,0.0657722612,0.0803614759
Cocaine Use in the Past Year,26 or Older,2016-18,"West",0.0199401403,0.0179377622,0.0221609984
Cocaine Use in the Past Year,12 or Older,2016-18,"South",0.0169747439,0.0158642741,0.01816151
Cocaine Use in the Past Year,12 to 17,2016-18,"South",0.0042735593,0.0034365355,0.0053133667
Cocaine Use in the Past Year,18 or Older,2016-18,"South",0.018285657,0.0170711214,0.0195848798
Cocaine Use in the Past Year,18 to 25,2016-18,"South",0.0483819887,0.043582027,0.0536809287
Cocaine Use in the Past Year,26 or Older,2016-18,"South",0.0134787896,0.0121926949,0.0148984965
Cocaine Use in the Past Year,12 or Older,2016-18,"Midwest",0.0174864377,0.0162276322,0.0188410208
Cocaine Use in the Past Year,12 to 17,2016-18,"Midwest",0.0048212686,0.0039180683,0.0059314365
Cocaine Use in the Past Year,18 or Older,2016-18,"Midwest",0.0187867126,0.0174113526,0.0202684742
Cocaine Use in the Past Year,18 to 25,2016-18,"Midwest",0.0519970881,0.0467188292,0.0578355012
Cocaine Use in the Past Year,26 or Older,2016-18,"Midwest",0.0133229269,0.0119161859,0.0148932348
Cocaine Use in the Past Year,12 or Older,2016-18,"Northeast",0.0238164518,0.0218987627,0.0258976278
Cocaine Use in the Past Year,12 to 17,2016-18,"Northeast",0.0050259057,0.0040620569,0.00621703
Cocaine Use in the Past Year,18 or Older,2016-18,"Northeast",0.0255532238,0.0234712446,0.0278146215
Cocaine Use in the Past Year,18 to 25,2016-18,"Northeast",0.0681014449,0.0614887123,0.0753682257
Cocaine Use in the Past Year,26 or Older,2016-18,"Northeast",0.0188374524,0.0167599513,0.021166929
Cocaine Use in the Past Year,12 or Older,2016-18,"United States",0.0202917724,0.0194527547,0.0211661967
Cocaine Use in the Past Year,12 to 17,2016-18,"United States",0.0050106589,0.0042886898,0.0058534516
Cocaine Use in the Past Year,18 or Older,2016-18,"United States",0.0218339108,0.0209164779,0.0227906472
Cocaine Use in the Past Year,18 to 25,2016-18,"United States",0.0584325506,0.0555122107,0.0614965182
Cocaine Use in the Past Year,26 or Older,2016-18,"United States",0.0159269717,0.0150264011,0.0168805907
Cocaine Use in the Past Year,12 or Older,2016-18,"Alabama",0.0160344287,0.0121447727,0.0211431777
Cocaine Use in the Past Year,12 to 17,2016-18,"Alabama",0.003572,0.0022409199,0.005689218
Cocaine Use in the Past Year,18 or Older,2016-18,"Alabama",0.0172939292,0.0130593745,0.0228697378
Cocaine Use in the Past Year,18 to 25,2016-18,"Alabama",0.0414913867,0.0305543783,0.056116705
Cocaine Use in the Past Year,26 or Older,2016-18,"Alabama",0.0134047144,0.0095653667,0.0187559169
Cocaine Use in the Past Year,12 or Older,2016-18,"Alabama Region 1",0.013814781,0.0092261089,0.0206381232
Cocaine Use in the Past Year,12 to 17,2016-18,"Alabama Region 1",0.0044189429,0.0025578099,0.0076239365
Cocaine Use in the Past Year,18 or Older,2016-18,"Alabama Region 1",0.0147808803,0.0097825219,0.0222756872
Cocaine Use in the Past Year,18 to 25,2016-18,"Alabama Region 1",0.0440918578,0.0276586799,0.0695898957
Cocaine Use in the Past Year,26 or Older,2016-18,"Alabama Region 1",0.0105726314,0.0064843744,0.017193838
Cocaine Use in the Past Year,12 or Older,2016-18,"Alabama Region 2",0.0182141001,0.0122677769,0.0269639878
Cocaine Use in the Past Year,12 to 17,2016-18,"Alabama Region 2",0.0033877099,0.0018786811,0.0061014391
Cocaine Use in the Past Year,18 or Older,2016-18,"Alabama Region 2",0.0196975344,0.0132090065,0.0292787875
Cocaine Use in the Past Year,18 to 25,2016-18,"Alabama Region 2",0.0455351921,0.0288182469,0.0712380278
Cocaine Use in the Past Year,26 or Older,2016-18,"Alabama Region 2",0.015450078,0.009681409,0.0245707277
Cocaine Use in the Past Year,12 or Older,2016-18,"Alabama Region 3",0.0174576085,0.0111631048,0.0272037305
Cocaine Use in the Past Year,12 to 17,2016-18,"Alabama Region 3",suppressed,suppressed,suppressed
Cocaine Use in the Past Year,18 or Older,2016-18,"Alabama Region 3",0.018884483,0.0120219434,0.0295472405
Cocaine Use in the Past Year,18 to 25,2016-18,"Alabama Region 3",0.0359180073,0.021298551,0.0599575873
Cocaine Use in the Past Year,26 or Older,2016-18,"Alabama Region 3",0.0155523225,0.0092553115,0.0260210904
Cocaine Use in the Past Year,12 or Older,2016-18,"Alabama Region 4",0.0145548729,0.0092553689,0.0228189149
Cocaine Use in the Past Year,12 to 17,2016-18,"Alabama Region 4",0.0033948698,0.0019181345,0.0060016792
Cocaine Use in the Past Year,18 or Older,2016-18,"Alabama Region 4",0.0157117608,0.0099174541,0.0248065912
Cocaine Use in the Past Year,18 to 25,2016-18,"Alabama Region 4",0.0377283576,0.022488767,0.0626334033
Cocaine Use in the Past Year,26 or Older,2016-18,"Alabama Region 4",0.0124306566,0.0073713983,0.0208891943
Cocaine Use in the Past Year,12 or Older,2016-18,"Alaska",0.0216200522,0.0168592931,0.0276873035
Cocaine Use in the Past Year,12 to 17,2016-18,"Alaska",0.0056529435,0.0036192234,0.0088193399
Cocaine Use in the Past Year,18 or Older,2016-18,"Alaska",0.0233932545,0.0181797378,0.0300561144
Cocaine Use in the Past Year,18 to 25,2016-18,"Alaska",0.0521388165,0.0389908731,0.0694001475
Cocaine Use in the Past Year,26 or Older,2016-18,"Alaska",0.0186531689,0.0137619213,0.0252383709
Cocaine Use in the Past Year,12 or Older,2016-18,"Alaska Southeast",0.0191014812,0.0119660849,0.0303609801
Cocaine Use in the Past Year,12 to 17,2016-18,"Alaska Southeast",suppressed,suppressed,suppressed
Cocaine Use in the Past Year,18 or Older,2016-18,"Alaska Southeast",0.0204174206,0.0126627736,0.0327634051
Cocaine Use in the Past Year,18 to 25,2016-18,"Alaska Southeast",0.0532005431,0.0303898497,0.0915169545
Cocaine Use in the Past Year,26 or Older,2016-18,"Alaska Southeast",0.016005856,0.0094137088,0.0270880579
Cocaine Use in the Past Year,12 or Older,2016-18,"Alaska Anchorage",0.0250378375,0.018159601,0.0344299576
Cocaine Use in the Past Year,12 to 17,2016-18,"Alaska Anchorage",0.004928072,0.0028946117,0.0083780321
Cocaine Use in the Past Year,18 or Older,2016-18,"Alaska Anchorage",0.0272069355,0.0196480713,0.0375623711
Cocaine Use in the Past Year,18 to 25,2016-18,"Alaska Anchorage",0.0624841434,0.0425465722,0.0908777881
Cocaine Use in the Past Year,26 or Older,2016-18,"Alaska Anchorage",0.0213621675,0.0144646898,0.0314437647
Cocaine Use in the Past Year,12 or Older,2016-18,"Alaska Northern",0.0194605432,0.0126439048,0.0298411273
Cocaine Use in the Past Year,12 to 17,2016-18,"Alaska Northern",0.005451922,0.0030905615,0.0096001187
Cocaine Use in the Past Year,18 or Older,2016-18,"Alaska Northern",0.0211159681,0.0135914938,0.0326681552
Cocaine Use in the Past Year,18 to 25,2016-18,"Alaska Northern",0.0388604528,0.0232941249,0.0641458261
Cocaine Use in the Past Year,26 or Older,2016-18,"Alaska Northern",0.0177136953,0.0107527667,0.0290485396
Cocaine Use in the Past Year,12 or Older,2016-18,"Alaska South Central",0.0191673752,0.0125679203,0.029129993
Cocaine Use in the Past Year,12 to 17,2016-18,"Alaska South Central",0.0068097191,0.003870992,0.0119526593
Cocaine Use in the Past Year,18 or Older,2016-18,"Alaska South Central",0.0205860426,0.0133601936,0.031594838
Cocaine Use in the Past Year,18 to 25,2016-18,"Alaska South Central",0.048183148,0.0292641343,0.0783460066
Cocaine Use in the Past Year,26 or Older,2016-18,"Alaska South Central",0.0163478228,0.0100270869,0.0265460956
Cocaine Use in the Past Year,12 or Older,2016-18,"Arizona",0.0204055049,0.015782139,0.0263470254
Cocaine Use in the Past Year,12 to 17,2016-18,"Arizona",0.0061895565,0.0039372879,0.0097176332
Cocaine Use in the Past Year,18 or Older,2016-18,"Arizona",0.0218917776,0.0168712937,0.0283631337
Cocaine Use in the Past Year,18 to 25,2016-18,"Arizona",0.0579059544,0.0433173451,0.0770122705
Cocaine Use in the Past Year,26 or Older,2016-18,"Arizona",0.0159462546,0.0115147407,0.022045226
Cocaine Use in the Past Year,12 or Older,2016-18,"Arizona Central",0.0194196665,0.0142843344,0.0263518359
Cocaine Use in the Past Year,12 to 17,2016-18,"Arizona Central",0.0057790196,0.0034255256,0.0097336795
Cocaine Use in the Past Year,18 or Older,2016-18,"Arizona Central",0.0209074301,0.015288933,0.0285308334
Cocaine Use in the Past Year,18 to 25,2016-18,"Arizona Central",0.0575527546,0.0399939734,0.0821607095
Cocaine Use in the Past Year,26 or Older,2016-18,"Arizona Central",0.0148312331,0.0099696633,0.0220107751
Cocaine Use in the Past Year,12 or Older,2016-18,"Arizona South A",0.0224324515,0.0142388289,0.0351727967
Cocaine Use in the Past Year,12 to 17,2016-18,"Arizona South A",suppressed,suppressed,suppressed
Cocaine Use in the Past Year,18 or Older,2016-18,"Arizona South A",0.0238789223,0.0150332244,0.0377301375
Cocaine Use in the Past Year,18 to 25,2016-18,"Arizona South A",0.0593019748,0.0346784558,0.0996054191
Cocaine Use in the Past Year,26 or Older,2016-18,"Arizona South A",0.0181790581,0.0107973185,0.0304520706
Cocaine Use in the Past Year,12 or Older,2016-18,"Arizona North",0.0219079773,0.0136664302,0.0349435152
Cocaine Use in the Past Year,12 to 17,2016-18,"Arizona North",suppressed,suppressed,suppressed
Cocaine Use in the Past Year,18 or Older,2016-18,"Arizona North",0.0232923295,0.0143900265,0.0374924893
Cocaine Use in the Past Year,18 to 25,2016-18,"Arizona North",0.062665786,0.0368323687,0.1046495421
Cocaine Use in the Past Year,26 or Older,2016-18,"Arizona North",0.0171100036,0.0098673215,0.0295104184
Cocaine Use in the Past Year,12 or Older,2016-18,"Arizona South",0.021861068,0.0150331281,0.0316904313
Cocaine Use in the Past Year,12 to 17,2016-18,"Arizona South",0.0067690443,0.0040269765,0.0113569631
Cocaine Use in the Past Year,18 or Older,2016-18,"Arizona South",0.0233665539,0.0159699349,0.0340703705
